"hypothesis_id","window","contrast","mediator","base_indirect_rd_ci","fixed_context_indirect_rd_ci","absolute_change_display","relative_attenuation_display","interpretation","base_n_subjects","fixed_context_n_subjects"
"TE-JMAES-H1-EC","0-5 years","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES","Ever had sexual intercourse","0.004 (-0.006, 0.014)","0.001 (-0.005, 0.007)",-0.003,"77.3%","Attenuated after fixed-context adjustment",1365,1364
"TE-JMAES-H1-EC","0-5 years","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES","Food insecurity","0.009 (-0.003, 0.021)","0.008 (-0.003, 0.018)",-0.001,"15.5%","Attenuated after fixed-context adjustment",1381,1380
"TE-JMAES-H1-EC","0-5 years","High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES","Violence exposure","0.002 (-0.003, 0.007)","0.004 (-0.003, 0.011)",0.002,"","Base indirect effect near null; attenuation not summarised",1381,1380
"TE-JMAES-H1-EC","0-5 years","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES","Ever had sexual intercourse","0.001 (-0.001, 0.003)","0.000 (-0.001, 0.002)",-0.001,"","Base indirect effect near null; attenuation not summarised",1365,1364
"TE-JMAES-H1-EC","0-5 years","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES","Food insecurity","0.001 (-0.001, 0.003)","0.001 (-0.001, 0.004)",0,"","Base indirect effect near null; attenuation not summarised",1381,1380
"TE-JMAES-H1-EC","0-5 years","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES","Violence exposure","0.000 (-0.001, 0.001)","0.000 (-0.001, 0.002)",0,"","Base indirect effect near null; attenuation not summarised",1381,1380
"TE-JMAES-H1-EC","0-5 years","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES","Ever had sexual intercourse","-0.002 (-0.008, 0.003)","-0.001 (-0.004, 0.002)",0.001,"55.3%","Attenuated after fixed-context adjustment",1365,1364
"TE-JMAES-H1-EC","0-5 years","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES","Food insecurity","-0.000 (-0.004, 0.004)","0.000 (-0.004, 0.004)",0,"","Base indirect effect near null; attenuation not summarised",1381,1380
"TE-JMAES-H1-EC","0-5 years","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES","Violence exposure","0.000 (-0.002, 0.002)","-0.000 (-0.002, 0.002)",0,"","Base indirect effect near null; attenuation not summarised",1381,1380
"TE-JMAES-H1-EC","0-5 years","Rising Maternal Absence, Low SES vs Low Maternal Absence, Improving SES","Ever had sexual intercourse","0.002 (-0.002, 0.006)","0.000 (-0.002, 0.003)",-0.002,"","Base indirect effect near null; attenuation not summarised",1365,1364
