"metric","n","note"
"subject_level_rows",6207,"All locally staged subject-level rows."
"strict_0_5_window_subjects",1467,"Subjects with early-childhood strict JMAES savedata."
"strict_6_12_window_subjects",3478,"Subjects with middle-late-childhood strict JMAES savedata."
"subject_level_overlap_0_5",1467,"Subject-level rows overlapping the early-childhood strict JMAES savedata."
"subject_level_overlap_6_12",3478,"Subject-level rows overlapping the middle-late-childhood strict JMAES savedata."
"base_complete_subjects",5867,"Subjects complete on SEX, core base mediators, and depressive symptoms."
"base_complete_overlap_0_5",1449,"Base-complete subject-level rows overlapping the early-childhood strict JMAES savedata."
"base_complete_overlap_6_12",3382,"Base-complete subject-level rows overlapping the middle-late-childhood strict JMAES savedata."
"strict_transition_overlap_subjects",1381,"Subjects with overlapping strict JMAES class uncertainty in both windows."
"base_complete_transition_overlap_subjects",1365,"Base-complete subject-level rows overlapping the strict JMAES transition bundle."
