"content","window","n_subjects","detail"
"subject_level_analysis_table",,6207,"Base-complete subjects = 5867"
"selected_strict_lcga_savedata","0-5 years",1467,"Strict K = 5; source = lcga_results_time_0_5.rds"
"posterior_long","0-5 years",1467,"Posterior rows = 7335"
"class_key","0-5 years",5,"Latent classes = Class 1, Class 2, Class 3, Class 4, Class 5"
"selected_strict_lcga_savedata","6-12 years",3478,"Strict K = 8; source = lcga_results_time_6_12.rds"
"posterior_long","6-12 years",3478,"Posterior rows = 27824"
"class_key","6-12 years",8,"Latent classes = Class 1, Class 2, Class 3, Class 4, Class 5, Class 6, Class 7, Class 8"
"saved_probs","0-5 years + 6-12 years",1381,"Overlap subjects = 1381; joint classes = 40"
"joint_map",,40,"Joint class labels = 40"
"mplus_transition",,40,"Posterior-weighted conditional transition probabilities"
"summary",,8,"Joint row totals range = 0.998 to 1.002"
