"adjustment_set","window","mediator","model_type","formula","n_subjects","n_pseudo_rows","weighted_outcome_events","weighted_mediator_events","converged_all","n_warning_fits","warnings","m_imputations"
"base","0-5 years","Alcohol use","Mediator model","DNKA ~ early_exposure + SEX + MAGE + MEDU",1381,9347,43,393,TRUE,20,,20
"base","0-5 years","Alcohol use","Mediator-adjusted outcome model","DPBN ~ early_exposure + DNKA + SEX + MAGE + MEDU",1381,9347,43,393,TRUE,20,,20
"base","0-5 years","Base pathway block","Joint-block mediator-adjusted outcome model","DPBN ~ early_exposure + FDSC + VLNC + ESXC + SEX + MAGE + MEDU",1365,9238,43,,TRUE,20,,20
"base","0-5 years","Base pathway block: Ever had sexual intercourse","Joint-block sequential mediator model","ESXC ~ early_exposure + SEX + MAGE + MEDU + FDSC + VLNC",1365,9238,43,275,TRUE,20,,20
"base","0-5 years","Base pathway block: Food insecurity","Joint-block sequential mediator model","FDSC ~ early_exposure + SEX + MAGE + MEDU",1365,9238,43,302.999999999999,TRUE,20,,20
"base","0-5 years","Base pathway block: Violence exposure","Joint-block sequential mediator model","VLNC ~ early_exposure + SEX + MAGE + MEDU + FDSC",1365,9238,43,430,TRUE,20,,20
"base","0-5 years","Ever had sexual intercourse","Mediator model","ESXC ~ early_exposure + SEX + MAGE + MEDU",1365,9238,43,275,TRUE,20,,20
"base","0-5 years","Ever had sexual intercourse","Mediator-adjusted outcome model","DPBN ~ early_exposure + ESXC + SEX + MAGE + MEDU",1365,9238,43,275,TRUE,20,,20
"base","0-5 years","Expanded pathway block","Joint-block mediator-adjusted outcome model","DPBN ~ early_exposure + FDSC + VLNC + ESXC + DNKA + GOVG + SCSP +",1365,9238,43,,TRUE,20,,20
"base","0-5 years","Expanded pathway block","Joint-block mediator-adjusted outcome model","SCHL + SEX + MAGE + MEDU",1365,9238,43,,TRUE,20,,20
"base","0-5 years","Expanded pathway block: Alcohol use","Joint-block sequential mediator model","DNKA ~ early_exposure + SEX + MAGE + MEDU + FDSC + VLNC + ESXC",1365,9238,43,385,TRUE,20,,20
"base","0-5 years","Expanded pathway block: Ever had sexual intercourse","Joint-block sequential mediator model","ESXC ~ early_exposure + SEX + MAGE + MEDU + FDSC + VLNC",1365,9238,43,275,TRUE,20,,20
"base","0-5 years","Expanded pathway block: Food insecurity","Joint-block sequential mediator model","FDSC ~ early_exposure + SEX + MAGE + MEDU",1365,9238,43,302.999999999999,TRUE,20,,20
"base","0-5 years","Expanded pathway block: Lack of government grant receipt","Joint-block sequential mediator model","DNKA",1365,9238,43,574.999999999997,TRUE,20,,20
"base","0-5 years","Expanded pathway block: Lack of government grant receipt","Joint-block sequential mediator model","GOVG ~ early_exposure + SEX + MAGE + MEDU + FDSC + VLNC + ESXC +",1365,9238,43,574.999999999997,TRUE,20,,20
"base","0-5 years","Expanded pathway block: Low social support","Joint-block sequential mediator model","DNKA + GOVG",1365,9238,43,136,TRUE,20,,20
"base","0-5 years","Expanded pathway block: Low social support","Joint-block sequential mediator model","SCSP ~ early_exposure + SEX + MAGE + MEDU + FDSC + VLNC + ESXC +",1365,9238,43,136,TRUE,20,,20
"base","0-5 years","Expanded pathway block: School disengagement","Joint-block sequential mediator model","DNKA + GOVG + SCSP",1365,9238,43,104,TRUE,20,,20
"base","0-5 years","Expanded pathway block: School disengagement","Joint-block sequential mediator model","SCHL ~ early_exposure + SEX + MAGE + MEDU + FDSC + VLNC + ESXC +",1365,9238,43,104,TRUE,20,,20
"base","0-5 years","Expanded pathway block: Violence exposure","Joint-block sequential mediator model","VLNC ~ early_exposure + SEX + MAGE + MEDU + FDSC",1365,9238,43,430,TRUE,20,,20
"base","0-5 years","Food insecurity","Mediator model","FDSC ~ early_exposure + SEX + MAGE + MEDU",1381,9347,43,308.999999999999,TRUE,20,,20
"base","0-5 years","Food insecurity","Mediator-adjusted outcome model","DPBN ~ early_exposure + FDSC + SEX + MAGE + MEDU",1381,9347,43,308.999999999999,TRUE,20,,20
"base","0-5 years","Lack of government grant receipt","Mediator model","GOVG ~ early_exposure + SEX + MAGE + MEDU",1381,9347,43,584.999999999997,TRUE,20,,20
"base","0-5 years","Lack of government grant receipt","Mediator-adjusted outcome model","DPBN ~ early_exposure + GOVG + SEX + MAGE + MEDU",1381,9347,43,584.999999999997,TRUE,20,,20
"base","0-5 years","Low social support","Mediator model","SCSP ~ early_exposure + SEX + MAGE + MEDU",1381,9347,43,138,TRUE,20,,20
"base","0-5 years","Low social support","Mediator-adjusted outcome model","DPBN ~ early_exposure + SCSP + SEX + MAGE + MEDU",1381,9347,43,138,TRUE,20,,20
"base","0-5 years","School disengagement","Mediator model","SCHL ~ early_exposure + SEX + MAGE + MEDU",1381,9347,43,108,TRUE,20,,20
"base","0-5 years","School disengagement","Mediator-adjusted outcome model","DPBN ~ early_exposure + SCHL + SEX + MAGE + MEDU",1381,9347,43,108,TRUE,20,,20
"base","0-5 years","Violence exposure","Mediator model","VLNC ~ early_exposure + SEX + MAGE + MEDU",1381,9347,43,433,TRUE,20,,20
"base","0-5 years","Violence exposure","Mediator-adjusted outcome model","DPBN ~ early_exposure + VLNC + SEX + MAGE + MEDU",1381,9347,43,433,TRUE,20,,20
"base","0-5 years",,"Total-effect outcome model","DPBN ~ early_exposure + SEX + MAGE + MEDU",1381,9347,43,,TRUE,20,,20
"base","6-12 years","Alcohol use","Mediator model","DNKA ~ mid_exposure + SEX + MAGE + MEDU",1381,9347,43,393,TRUE,20,,20
"base","6-12 years","Alcohol use","Mediator-adjusted outcome model","DPBN ~ mid_exposure + DNKA + SEX + MAGE + MEDU",1381,9347,43,393,TRUE,20,,20
"base","6-12 years","Base pathway block","Joint-block mediator-adjusted outcome model","DPBN ~ mid_exposure + FDSC + VLNC + ESXC + SEX + MAGE + MEDU",1365,9238,43,,TRUE,20,,20
"base","6-12 years","Base pathway block: Ever had sexual intercourse","Joint-block sequential mediator model","ESXC ~ mid_exposure + SEX + MAGE + MEDU + FDSC + VLNC",1365,9238,43,275,TRUE,20,,20
"base","6-12 years","Base pathway block: Food insecurity","Joint-block sequential mediator model","FDSC ~ mid_exposure + SEX + MAGE + MEDU",1365,9238,43,302.999999999999,TRUE,20,,20
"base","6-12 years","Base pathway block: Violence exposure","Joint-block sequential mediator model","VLNC ~ mid_exposure + SEX + MAGE + MEDU + FDSC",1365,9238,43,430,TRUE,20,,20
"base","6-12 years","Ever had sexual intercourse","Mediator model","ESXC ~ mid_exposure + SEX + MAGE + MEDU",1365,9238,43,275,TRUE,20,,20
"base","6-12 years","Ever had sexual intercourse","Mediator-adjusted outcome model","DPBN ~ mid_exposure + ESXC + SEX + MAGE + MEDU",1365,9238,43,275,TRUE,20,,20
"base","6-12 years","Expanded pathway block","Joint-block mediator-adjusted outcome model","DPBN ~ mid_exposure + FDSC + VLNC + ESXC + DNKA + GOVG + SCSP +",1365,9238,43,,TRUE,20,,20
"base","6-12 years","Expanded pathway block","Joint-block mediator-adjusted outcome model","SCHL + SEX + MAGE + MEDU",1365,9238,43,,TRUE,20,,20
"base","6-12 years","Expanded pathway block: Alcohol use","Joint-block sequential mediator model","DNKA ~ mid_exposure + SEX + MAGE + MEDU + FDSC + VLNC + ESXC",1365,9238,43,385,TRUE,20,,20
"base","6-12 years","Expanded pathway block: Ever had sexual intercourse","Joint-block sequential mediator model","ESXC ~ mid_exposure + SEX + MAGE + MEDU + FDSC + VLNC",1365,9238,43,275,TRUE,20,,20
"base","6-12 years","Expanded pathway block: Food insecurity","Joint-block sequential mediator model","FDSC ~ mid_exposure + SEX + MAGE + MEDU",1365,9238,43,302.999999999999,TRUE,20,,20
"base","6-12 years","Expanded pathway block: Lack of government grant receipt","Joint-block sequential mediator model","DNKA",1365,9238,43,574.999999999997,TRUE,20,,20
"base","6-12 years","Expanded pathway block: Lack of government grant receipt","Joint-block sequential mediator model","GOVG ~ mid_exposure + SEX + MAGE + MEDU + FDSC + VLNC + ESXC +",1365,9238,43,574.999999999997,TRUE,20,,20
"base","6-12 years","Expanded pathway block: Low social support","Joint-block sequential mediator model","DNKA + GOVG",1365,9238,43,136,TRUE,20,,20
"base","6-12 years","Expanded pathway block: Low social support","Joint-block sequential mediator model","SCSP ~ mid_exposure + SEX + MAGE + MEDU + FDSC + VLNC + ESXC +",1365,9238,43,136,TRUE,20,,20
"base","6-12 years","Expanded pathway block: School disengagement","Joint-block sequential mediator model","DNKA + GOVG + SCSP",1365,9238,43,104,TRUE,20,,20
"base","6-12 years","Expanded pathway block: School disengagement","Joint-block sequential mediator model","SCHL ~ mid_exposure + SEX + MAGE + MEDU + FDSC + VLNC + ESXC +",1365,9238,43,104,TRUE,20,,20
"base","6-12 years","Expanded pathway block: Violence exposure","Joint-block sequential mediator model","VLNC ~ mid_exposure + SEX + MAGE + MEDU + FDSC",1365,9238,43,430,TRUE,20,,20
"base","6-12 years","Food insecurity","Mediator model","FDSC ~ mid_exposure + SEX + MAGE + MEDU",1381,9347,43,308.999999999999,TRUE,20,,20
"base","6-12 years","Food insecurity","Mediator-adjusted outcome model","DPBN ~ mid_exposure + FDSC + SEX + MAGE + MEDU",1381,9347,43,308.999999999999,TRUE,20,,20
"base","6-12 years","Lack of government grant receipt","Mediator model","GOVG ~ mid_exposure + SEX + MAGE + MEDU",1381,9347,43,584.999999999997,TRUE,20,,20
"base","6-12 years","Lack of government grant receipt","Mediator-adjusted outcome model","DPBN ~ mid_exposure + GOVG + SEX + MAGE + MEDU",1381,9347,43,584.999999999997,TRUE,20,,20
"base","6-12 years","Low social support","Mediator model","SCSP ~ mid_exposure + SEX + MAGE + MEDU",1381,9347,43,138,TRUE,20,,20
"base","6-12 years","Low social support","Mediator-adjusted outcome model","DPBN ~ mid_exposure + SCSP + SEX + MAGE + MEDU",1381,9347,43,138,TRUE,20,,20
"base","6-12 years","School disengagement","Mediator model","SCHL ~ mid_exposure + SEX + MAGE + MEDU",1381,9347,43,108,TRUE,20,,20
"base","6-12 years","School disengagement","Mediator-adjusted outcome model","DPBN ~ mid_exposure + SCHL + SEX + MAGE + MEDU",1381,9347,43,108,TRUE,20,,20
"base","6-12 years","Violence exposure","Mediator model","VLNC ~ mid_exposure + SEX + MAGE + MEDU",1381,9347,43,433,TRUE,20,,20
"base","6-12 years","Violence exposure","Mediator-adjusted outcome model","DPBN ~ mid_exposure + VLNC + SEX + MAGE + MEDU",1381,9347,43,433,TRUE,20,,20
"base","6-12 years",,"Total-effect outcome model","DPBN ~ mid_exposure + SEX + MAGE + MEDU",1381,9347,43,,TRUE,20,,20
"fixed_context","0-5 years","Alcohol use","Mediator model","DNKA ~ early_exposure + SEX + MAGE + MEDU + AGE + RURAL + CLYR",1380,9338,43,392,TRUE,20,,20
"fixed_context","0-5 years","Alcohol use","Mediator-adjusted outcome model","CLYR",1380,9338,43,392,TRUE,20,,20
"fixed_context","0-5 years","Alcohol use","Mediator-adjusted outcome model","DPBN ~ early_exposure + DNKA + SEX + MAGE + MEDU + AGE + RURAL +",1380,9338,43,392,TRUE,20,,20
"fixed_context","0-5 years","Base pathway block","Joint-block mediator-adjusted outcome model","AGE + RURAL + CLYR",1364,9229,43,,TRUE,20,,20
"fixed_context","0-5 years","Base pathway block","Joint-block mediator-adjusted outcome model","DPBN ~ early_exposure + FDSC + VLNC + ESXC + SEX + MAGE + MEDU +",1364,9229,43,,TRUE,20,,20
