"Exposure family","Adjustment set","Role","Window","Contrast","N","Reference risk","Comparator risk","Risk difference, percentage points (95% CI)","Direction supported"
"Maternal absence","Base model","Primary","Early childhood","Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence","1,365","7.1%","1.3%","-5.77 (-10.34, -0.15)","No"
"Maternal absence","Base model","Primary","Early childhood","Late-Onset Maternal Absence vs Stable Low Maternal Absence","1,365","7.1%","2.6%","-4.47 (-8.18, 0.11)","No"
"Maternal absence","Base model","Primary","Early childhood","Stable High Maternal Absence vs Stable Low Maternal Absence","1,365","7.1%","2.9%","-4.15 (-9.12, 0.51)","No"
"Maternal absence","Base model","Primary","Middle-late childhood","Declining Maternal Absence vs Stable Low Maternal Absence","1,365","3.4%","7.6%","4.26 (-3.79, 12.13)","Yes"
"Maternal absence","Base model","Primary","Middle-late childhood","Late-Onset Maternal Absence vs Stable Low Maternal Absence","1,365","3.4%","3.8%","0.39 (-3.42, 4.04)","Yes"
"Maternal absence","Base model","Primary","Middle-late childhood","Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence","1,365","3.4%","2.1%","-1.26 (-7.09, 2.26)","No"
"Maternal absence","Base model","Primary","Middle-late childhood","Stable High Maternal Absence vs Stable Low Maternal Absence","1,365","3.4%","5.7%","2.34 (-3.88, 8.81)","Yes"
"Maternal absence","Base model","Secondary","Early childhood","Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence","1,365","7.1%","1.3%","-5.77 (-10.34, -0.15)","No"
"Maternal absence","Base model","Secondary","Early childhood","Late-Onset Maternal Absence vs Stable Low Maternal Absence","1,365","7.1%","2.6%","-4.47 (-8.18, 0.11)","No"
"Maternal absence","Base model","Secondary","Middle-late childhood","Declining Maternal Absence vs Stable Low Maternal Absence","1,365","3.4%","7.6%","4.26 (-3.79, 12.13)","Yes"
"Maternal absence","Base model","Secondary","Middle-late childhood","Late-Onset Maternal Absence vs Stable Low Maternal Absence","1,365","3.4%","3.8%","0.39 (-3.42, 4.04)","Yes"
"Maternal absence","Base model","Secondary","Middle-late childhood","Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence","1,365","3.4%","2.1%","-1.26 (-7.09, 2.26)","No"
"Maternal absence","Base model","Secondary","Early childhood","Early Peak, Declining Maternal Absence vs Stable High Maternal Absence","1,365","2.9%","1.3%","-1.62 (-3.76, 1.86)","Yes"
"Maternal absence","Base model","Secondary","Early childhood","Late-Onset Maternal Absence vs Stable High Maternal Absence","1,365","2.9%","2.6%","-0.32 (-2.14, 2.08)","Yes"
"Maternal absence","Base model","Secondary","Middle-late childhood","Declining Maternal Absence vs Stable High Maternal Absence","1,365","5.7%","7.6%","1.92 (-5.17, 10.39)","No"
"Maternal absence","Base model","Secondary","Middle-late childhood","Late-Onset Maternal Absence vs Stable High Maternal Absence","1,365","5.7%","3.8%","-1.95 (-7.87, 3.07)","Yes"
"Maternal absence","Base model","Secondary","Middle-late childhood","Mid-Childhood Onset Maternal Absence vs Stable High Maternal Absence","1,365","5.7%","2.1%","-3.60 (-9.19, 0.72)","Yes"
"Maternal absence","Context-adjusted model","Primary","Early childhood","Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence","1,364","6.8%","1.5%","-5.27 (-15.75, 0.67)","No"
"Maternal absence","Context-adjusted model","Primary","Early childhood","Late-Onset Maternal Absence vs Stable Low Maternal Absence","1,364","6.8%","2.2%","-4.54 (-12.37, -0.22)","No"
"Maternal absence","Context-adjusted model","Primary","Early childhood","Stable High Maternal Absence vs Stable Low Maternal Absence","1,364","6.8%","2.9%","-3.89 (-12.31, 1.45)","No"
"Maternal absence","Context-adjusted model","Primary","Middle-late childhood","Declining Maternal Absence vs Stable Low Maternal Absence","1,364","3.4%","7.2%","3.81 (-3.21, 12.59)","Yes"
"Maternal absence","Context-adjusted model","Primary","Middle-late childhood","Late-Onset Maternal Absence vs Stable Low Maternal Absence","1,364","3.4%","3.6%","0.17 (-3.52, 3.08)","Yes"
"Maternal absence","Context-adjusted model","Primary","Middle-late childhood","Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence","1,364","3.4%","1.9%","-1.44 (-6.38, 1.59)","No"
"Maternal absence","Context-adjusted model","Primary","Middle-late childhood","Stable High Maternal Absence vs Stable Low Maternal Absence","1,364","3.4%","6.2%","2.85 (-3.88, 13.54)","Yes"
"Maternal absence","Context-adjusted model","Secondary","Early childhood","Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence","1,364","6.8%","1.5%","-5.27 (-15.75, 0.67)","No"
"Maternal absence","Context-adjusted model","Secondary","Early childhood","Late-Onset Maternal Absence vs Stable Low Maternal Absence","1,364","6.8%","2.2%","-4.54 (-12.37, -0.22)","No"
