"model","pv_draw_id","mediator","term","estimate","std.error"
"ULWOM",1,"DNKA","C05_C2",-0.0101495201594337,0.156401900235345
"ULWOM",1,"DNKA","C05_C3",-0.18331317382789,0.129889661791706
"ULWOM",1,"DNKA","C05_C4",-0.188133557524078,0.167372449344444
"ULWOM",1,"DNKA","C612_C2",-0.0944643931028732,0.150238268920464
"ULWOM",1,"DNKA","C612_C3",-0.0550400487454769,0.109662517107142
"ULWOM",1,"DNKA","C612_C4",0.117550213844275,0.165782539925986
"ULWOM",1,"DNKA","C612_C5",0.162324661677181,0.173981409607672
"ULWOM",1,"ESXC","C05_C2",0.137538928224116,0.198080048814757
"ULWOM",1,"ESXC","C05_C3",0.0339247612934198,0.163137395903588
"ULWOM",1,"ESXC","C05_C4",-0.0039641753579554,0.205389154828962
"ULWOM",1,"ESXC","C612_C2",-0.0202683717661001,0.181949183844588
"ULWOM",1,"ESXC","C612_C3",-0.205245349668275,0.134063798813065
"ULWOM",1,"ESXC","C612_C4",0.0789233420473003,0.208010442579199
"ULWOM",1,"ESXC","C612_C5",-0.344437915164661,0.213563382257583
"ULWOM",1,"FDSC","C05_C2",0.272924435129552,0.168002634913744
"ULWOM",1,"FDSC","C05_C3",0.301983805893177,0.141460683520276
"ULWOM",1,"FDSC","C05_C4",0.23068023306017,0.177833606102055
"ULWOM",1,"FDSC","C612_C2",0.124848246819506,0.153673344361122
"ULWOM",1,"FDSC","C612_C3",0.0184524643191756,0.113829988675064
"ULWOM",1,"FDSC","C612_C4",-0.144077107896948,0.176797713044496
"ULWOM",1,"FDSC","C612_C5",0.0539187709552674,0.178815616878417
"ULWOM",1,"GOVG","C05_C2",0.0409500752930229,0.163106547539175
"ULWOM",1,"GOVG","C05_C3",-0.0682784686142195,0.134352367020027
"ULWOM",1,"GOVG","C05_C4",0.0152863303861244,0.171447340577257
"ULWOM",1,"GOVG","C612_C2",0.186299578226876,0.153463339382148
"ULWOM",1,"GOVG","C612_C3",0.0976226855463036,0.112449884599171
"ULWOM",1,"GOVG","C612_C4",-0.0432336723295725,0.172383151892638
"ULWOM",1,"GOVG","C612_C5",0.0248580111746102,0.178183595675948
"ULWOM",1,"VLNC","C05_C2",0.0545239718699802,0.157464388395398
"ULWOM",1,"VLNC","C05_C3",0.0219243428286139,0.13117519946806
"ULWOM",1,"VLNC","C05_C4",-0.185577327712365,0.170092613186544
"ULWOM",1,"VLNC","C612_C2",0.265084549688015,0.146451457481228
"ULWOM",1,"VLNC","C612_C3",0.0592734026017291,0.11018169420548
"ULWOM",1,"VLNC","C612_C4",-0.0250295729458176,0.16959481838872
"ULWOM",1,"VLNC","C612_C5",-0.122695711608298,0.179316309109698
"ULWOM",1,"SCSP","C05_C2",0.374957453154978,0.254920848739352
"ULWOM",1,"SCSP","C05_C3",0.00108305405022599,0.196568209778587
"ULWOM",1,"SCSP","C05_C4",-0.0912085376375578,0.249855331910332
"ULWOM",1,"SCSP","C612_C2",0.212663738567438,0.232497097535157
"ULWOM",1,"SCSP","C612_C3",0.237294786969832,0.165802317855023
"ULWOM",1,"SCSP","C612_C4",0.361219746650365,0.265648629719634
"ULWOM",1,"SCSP","C612_C5",0.428189860979176,0.285753469311661
"ULWOM",1,"SCHL","C05_C2",0.150922407522409,0.232972395996649
"ULWOM",1,"SCHL","C05_C3",-0.107367330705868,0.196206323899047
"ULWOM",1,"SCHL","C05_C4",0.180590541802204,0.247806162103592
"ULWOM",1,"SCHL","C612_C2",0.312322274409225,0.217773035855895
"ULWOM",1,"SCHL","C612_C3",0.204881442716758,0.157377630128013
"ULWOM",1,"SCHL","C612_C4",0.279093012296154,0.241371758031505
"ULWOM",1,"SCHL","C612_C5",0.307079344791701,0.259054431045049
"ULWOM",2,"DNKA","C05_C2",0.0758458493805873,0.154780152582657
"ULWOM",2,"DNKA","C05_C3",-0.129224905990155,0.12974819858836
"ULWOM",2,"DNKA","C05_C4",-0.15742566581013,0.165339032510672
"ULWOM",2,"DNKA","C612_C2",0.118878028628836,0.147797796136977
"ULWOM",2,"DNKA","C612_C3",-0.0667691676611023,0.111018931332471
"ULWOM",2,"DNKA","C612_C4",0.244045991245059,0.170652681739447
"ULWOM",2,"DNKA","C612_C5",-0.0385693243628547,0.176516355917381
"ULWOM",2,"ESXC","C05_C2",0.280883529911333,0.195999479393082
"ULWOM",2,"ESXC","C05_C3",0.135244678995327,0.163425252585964
"ULWOM",2,"ESXC","C05_C4",0.10168849589448,0.204146613986997
"ULWOM",2,"ESXC","C612_C2",0.174962427784632,0.180081526840396
"ULWOM",2,"ESXC","C612_C3",-0.196754716405574,0.136285057670354
"ULWOM",2,"ESXC","C612_C4",0.119207055277366,0.216933130595967
"ULWOM",2,"ESXC","C612_C5",-0.414632979287238,0.216235779239793
"ULWOM",2,"FDSC","C05_C2",0.27265642201522,0.165538570678638
"ULWOM",2,"FDSC","C05_C3",0.238213726048881,0.140181973566996
"ULWOM",2,"FDSC","C05_C4",0.251974726156617,0.172933898413156
"ULWOM",2,"FDSC","C612_C2",0.311684443074485,0.151537727738008
"ULWOM",2,"FDSC","C612_C3",0.072558549946265,0.115772155012817
"ULWOM",2,"FDSC","C612_C4",-0.0760480009202812,0.18310849673793
"ULWOM",2,"FDSC","C612_C5",0.200602791341258,0.177786435116527
"ULWOM",2,"GOVG","C05_C2",0.207069305880724,0.162550442857436
"ULWOM",2,"GOVG","C05_C3",-0.0294350142207678,0.133642010706931
"ULWOM",2,"GOVG","C05_C4",-0.314266600393515,0.167392279112885
"ULWOM",2,"GOVG","C612_C2",0.174553580888443,0.153005333425796
"ULWOM",2,"GOVG","C612_C3",0.116325008595736,0.113578875260993
"ULWOM",2,"GOVG","C612_C4",-0.000527593634130871,0.178841167715697
"ULWOM",2,"GOVG","C612_C5",0.16244111041103,0.179352963086932
"ULWOM",2,"VLNC","C05_C2",0.174315482328045,0.155682554086038
"ULWOM",2,"VLNC","C05_C3",0.0153213276370563,0.130422196958259
"ULWOM",2,"VLNC","C05_C4",0.0288722180248915,0.163334796187247
"ULWOM",2,"VLNC","C612_C2",0.0959729487957024,0.147654023263123
"ULWOM",2,"VLNC","C612_C3",0.0783185309229701,0.110662908319951
"ULWOM",2,"VLNC","C612_C4",0.059144766782276,0.173656385736664
"ULWOM",2,"VLNC","C612_C5",-0.00388988524969182,0.176172550394868
"ULWOM",2,"SCSP","C05_C2",0.531909376195976,0.255287063054414
"ULWOM",2,"SCSP","C05_C3",0.164436733036038,0.196245167001364
"ULWOM",2,"SCSP","C05_C4",-0.0379288893138072,0.244443726288798
"ULWOM",2,"SCSP","C612_C2",0.266706122812075,0.241351908266896
"ULWOM",2,"SCSP","C612_C3",0.116188972980772,0.170295043856677
"ULWOM",2,"SCSP","C612_C4",0.630115888791514,0.305786430687045
"ULWOM",2,"SCSP","C612_C5",0.2239510122772,0.276080037356761
"ULWOM",2,"SCHL","C05_C2",-0.0151981067972863,0.229614369305201
"ULWOM",2,"SCHL","C05_C3",-0.204830398360282,0.197892376216125
"ULWOM",2,"SCHL","C05_C4",-0.19635965517553,0.2446265375344
"ULWOM",2,"SCHL","C612_C2",0.341517586963972,0.218240349379814
"ULWOM",2,"SCHL","C612_C3",0.206376698014845,0.160260460248779
"ULWOM",2,"SCHL","C612_C4",0.270851132178288,0.251926557121121
"ULWOM",2,"SCHL","C612_C5",0.341089679850443,0.261624309308024
"ULWOM",3,"DNKA","C05_C2",0.0984941134145554,0.155147123457309
"ULWOM",3,"DNKA","C05_C3",-0.119670203045741,0.131119373376579
"ULWOM",3,"DNKA","C05_C4",-0.187244282631657,0.169857852894008
"ULWOM",3,"DNKA","C612_C2",0.091214447439769,0.146874757668728
"ULWOM",3,"DNKA","C612_C3",-0.0901495823575358,0.11180316311177
"ULWOM",3,"DNKA","C612_C4",0.0978560800812814,0.168153659260213
"ULWOM",3,"DNKA","C612_C5",0.0184065039383358,0.173773764455018
"ULWOM",3,"ESXC","C05_C2",0.212198799247516,0.197261862928222
"ULWOM",3,"ESXC","C05_C3",0.113725718570279,0.16572643272134
"ULWOM",3,"ESXC","C05_C4",0.0147148436846514,0.209398926553326
"ULWOM",3,"ESXC","C612_C2",0.111853175731724,0.179244283004398
"ULWOM",3,"ESXC","C612_C3",-0.212991023269779,0.136905398777918
"ULWOM",3,"ESXC","C612_C4",0.032749277329931,0.211063875685144
"ULWOM",3,"ESXC","C612_C5",-0.446201230601619,0.215017646749749
"ULWOM",3,"FDSC","C05_C2",0.28162425927971,0.166316984380014
"ULWOM",3,"FDSC","C05_C3",0.311983174847403,0.141860920845543
"ULWOM",3,"FDSC","C05_C4",0.164845436873903,0.180176414296122
"ULWOM",3,"FDSC","C612_C2",0.147200247095382,0.1518401254379
"ULWOM",3,"FDSC","C612_C3",-0.027003374007532,0.115495766564722
"ULWOM",3,"FDSC","C612_C4",0.0108702511113762,0.173415995269523
"ULWOM",3,"FDSC","C612_C5",-0.0790791226789078,0.181048151899105
"ULWOM",3,"GOVG","C05_C2",0.144721234658569,0.162660358814455
"ULWOM",3,"GOVG","C05_C3",-0.033833939865494,0.135097011691422
"ULWOM",3,"GOVG","C05_C4",0.0409461922754696,0.172315738249083
"ULWOM",3,"GOVG","C612_C2",0.141563830490336,0.151639717868038
"ULWOM",3,"GOVG","C612_C3",0.0863359470673759,0.114639583498139
"ULWOM",3,"GOVG","C612_C4",-0.108811625927006,0.175096535284195
"ULWOM",3,"GOVG","C612_C5",0.0300752946519376,0.176973465203168
