"model","model_label","coefficient_type","childhood_window","term","exposure_contrast","mediator","mediator_label","m","q_bar","std.error","lower_95","upper_95","odds_ratio","odds_ratio_lower_95","odds_ratio_upper_95","p_value","significant_at_95"
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Declining Return to Two-Parent vs Dual Absence, Stable High","DNKA","Alcohol use",100,-0.221897500409726,0.217504847712533,-0.648726087761271,0.204931086941819,0.800997462038766,0.522711241046762,1.22744047537165,0.307887346619699,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Paternal Absence, Stable High vs Dual Absence, Stable High","DNKA","Alcohol use",100,-0.206368466279251,0.147822160574348,-0.496303600163961,0.0835666676054598,0.813533261476587,0.60877678828091,1.08715769107698,0.162881280881716,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C4","Maternal Absence Transition vs Dual Absence, Stable High","DNKA","Alcohol use",100,-0.087337628537702,0.201592395560981,-0.482873019435786,0.308197762360381,0.916367651527329,0.617008166444519,1.36097011098672,0.664923636015869,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C5","Late Dual Absence vs Dual Absence, Stable High","DNKA","Alcohol use",100,-0.121918292980491,0.197424898712872,-0.509209914819192,0.265373328858211,0.885220694292363,0.600970208944653,1.3039176750201,0.536980625544403,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C6","Two-Parent, Stable Presence vs Dual Absence, Stable High","DNKA","Alcohol use",100,-0.221545548540708,0.158518528095416,-0.532463884637275,0.0893727875558586,0.801279424208255,0.587156500099884,1.09348821915501,0.162420710125604,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Declining Return to Two-Parent vs Dual Absence, Stable High","ESXC","Ever had sexual intercourse",100,-0.238766262324559,0.258767250344257,-0.746387596952383,0.268855072303266,0.787598952408115,0.474076016893521,1.30846549441391,0.356321981210341,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Paternal Absence, Stable High vs Dual Absence, Stable High","ESXC","Ever had sexual intercourse",100,-0.100041578958412,0.183675614325231,-0.460301754570399,0.260218596653575,0.90479979662072,0.631093181519811,1.29721362223147,0.586057447656746,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C4","Maternal Absence Transition vs Dual Absence, Stable High","ESXC","Ever had sexual intercourse",100,-0.190005277561704,0.268244272765034,-0.716629282339205,0.336618727215797,0.826954769627023,0.488395728670755,1.4002051018548,0.47896735207996,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C5","Late Dual Absence vs Dual Absence, Stable High","ESXC","Ever had sexual intercourse",100,-0.090594277426409,0.246619210062958,-0.574361678682223,0.393173123829405,0.913388217951121,0.563064169982932,1.48167488035549,0.713415311533019,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C6","Two-Parent, Stable Presence vs Dual Absence, Stable High","ESXC","Ever had sexual intercourse",100,-0.117294371287037,0.194384637524877,-0.498522743651478,0.263934001077405,0.889323363364649,0.607427323118056,1.30204226007874,0.546305068687629,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C2","Declining Return to Two-Parent vs Dual Absence, Stable High","FDSC","Food insecurity",100,0.181253854737178,0.232541698566349,-0.275292276090149,0.637799985564504,1.19871944128111,0.759350150894789,1.89231318017396,0.435974530745395,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C3","Paternal Absence, Stable High vs Dual Absence, Stable High","FDSC","Food insecurity",100,0.14487292878461,0.148987428494405,-0.147253133503558,0.436998991072777,1.15589268024773,0.863075476443341,1.54805451518121,0.330936961133311,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C4","Maternal Absence Transition vs Dual Absence, Stable High","FDSC","Food insecurity",100,0.0650635270080074,0.226602946967635,-0.379857461430139,0.509984515446153,1.06722681995748,0.683958892787028,1.66526540885435,0.774103052969865,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C5","Late Dual Absence vs Dual Absence, Stable High","FDSC","Food insecurity",100,-0.18549916510146,0.217548874247553,-0.612300897180491,0.241302566977571,0.830689529122108,0.542102111773828,1.27290611640525,0.394001375284464,FALSE
"JPA","Joint parental absence","A-path (class to pathway variable)","Early childhood (0-5 years)","C05_C6","Two-Parent, Stable Presence vs Dual Absence, Stable High","FDSC","Food insecurity",100,0.0813065830207376,0.170250054635263,-0.252701305751154,0.415314471792629,1.08470339723876,0.776699842955455,1.51484704246139,0.633038805212668,FALSE
