"model","pv_draw_id","mediator","estimate","std.error"
"ULWOM",1,"DNKA",0.303769328746011,0.155206186406385
"ULWOM",1,"ESXC",0.43540162063466,0.189757327835381
"ULWOM",1,"FDSC",0.716046863025078,0.144325773018792
"ULWOM",1,"GOVG",0.103521049016955,0.160417182325411
"ULWOM",1,"VLNC",0.620731944632146,0.148908577589638
"ULWOM",1,"SCSP",0.0375219150945173,0.24313460464264
"ULWOM",1,"SCHL",0.176703762162598,0.186398648618536
"ULWOM",2,"DNKA",0.301623967058351,0.154946825275847
"ULWOM",2,"ESXC",0.442771532991194,0.190220677378446
"ULWOM",2,"FDSC",0.721232214743631,0.144308691317659
"ULWOM",2,"GOVG",0.111937005866185,0.160603542528554
"ULWOM",2,"VLNC",0.623449391841546,0.148582413572229
"ULWOM",2,"SCSP",0.0459090878712092,0.243137769834415
"ULWOM",2,"SCHL",0.187740298828215,0.186556702479891
"ULWOM",3,"DNKA",0.305560166644101,0.154830404227597
"ULWOM",3,"ESXC",0.439254105367708,0.189768310490231
"ULWOM",3,"FDSC",0.71773239560105,0.144114769950215
"ULWOM",3,"GOVG",0.10436659276176,0.160350286035902
"ULWOM",3,"VLNC",0.61955764812242,0.148555143902666
"ULWOM",3,"SCSP",0.0466295212697891,0.242941726470871
"ULWOM",3,"SCHL",0.185268992470043,0.186286007103216
"ULWOM",4,"DNKA",0.295904517689373,0.155286974066417
"ULWOM",4,"ESXC",0.43180147850128,0.190262367388212
"ULWOM",4,"FDSC",0.713470966670641,0.14437206798617
"ULWOM",4,"GOVG",0.108926120254737,0.160655971203936
"ULWOM",4,"VLNC",0.614950382341734,0.149070688030412
"ULWOM",4,"SCSP",0.058655373750256,0.243772714135102
"ULWOM",4,"SCHL",0.184112547273881,0.18617529761962
"ULWOM",5,"DNKA",0.302739562544838,0.154815490394234
"ULWOM",5,"ESXC",0.432927220390645,0.190064490508018
"ULWOM",5,"FDSC",0.717025751152061,0.14427187439371
"ULWOM",5,"GOVG",0.103093679887408,0.160448201105865
"ULWOM",5,"VLNC",0.61979266738766,0.148671373650307
"ULWOM",5,"SCSP",0.043816852113326,0.243335701265144
"ULWOM",5,"SCHL",0.182591596994469,0.186536157653089
"ULWOM",6,"DNKA",0.303811884147435,0.155089789363435
"ULWOM",6,"ESXC",0.445249557558017,0.189662829307968
"ULWOM",6,"FDSC",0.708958618627119,0.144456558455021
"ULWOM",6,"GOVG",0.109026919394179,0.160497047112389
"ULWOM",6,"VLNC",0.617847205217582,0.148733959416834
"ULWOM",6,"SCSP",0.0573108886164553,0.243561297409192
"ULWOM",6,"SCHL",0.184040141642552,0.186866943573184
