"model","model_label","coefficient_type","mediator","mediator_label","m","q_bar","std.error","lower_95","upper_95","odds_ratio","odds_ratio_lower_95","odds_ratio_upper_95","p_value","significant_at_95"
"JPA","Joint parental absence","B-path (pathway variable to depressive symptoms)","DNKA","Alcohol use",100,0.24329745652575,0.149201198940425,-0.0491315449227352,0.535726457974236,1.27544795801636,0.95205588334331,1.7086890822999,0.102960646831019,FALSE
"JPA","Joint parental absence","B-path (pathway variable to depressive symptoms)","ESXC","Ever had sexual intercourse",100,0.466516923715212,0.18307056379652,0.107705177359242,0.825328670071183,1.59443098554983,1.11371934730022,2.28263087450534,0.0108252496262642,TRUE
"JPA","Joint parental absence","B-path (pathway variable to depressive symptoms)","FDSC","Food insecurity",100,0.704303931448456,0.139366560448909,0.431150464466218,0.977457398430694,2.02243843906651,1.5390271014276,2.65769019663114,4.33547934886036e-07,TRUE
"JPA","Joint parental absence","B-path (pathway variable to depressive symptoms)","GOVG","No government grant receipt",100,0.147918275691603,0.154520135827355,-0.154935650954096,0.450772202337302,1.15941813984545,0.856470288756342,1.5695237075353,0.33842844508482,FALSE
"JPA","Joint parental absence","B-path (pathway variable to depressive symptoms)","SCHL","School disengagement",100,0.13725458086426,0.179098286487278,-0.213771720758448,0.488280882486967,1.14712014618854,0.807532706937316,1.62951248721838,0.443459456505601,FALSE
"JPA","Joint parental absence","B-path (pathway variable to depressive symptoms)","SCSP","Low social support",100,-0.0951803287983011,0.223732340743202,-0.533687688551478,0.343327030954876,0.909208963124573,0.586438375188478,1.40962967909523,0.670530154834889,FALSE
"JPA","Joint parental absence","B-path (pathway variable to depressive symptoms)","VLNC","Violence exposure",100,0.655112156073797,0.142751457010271,0.375324420010755,0.934899892136839,1.92535844591123,1.45546351952458,2.54695847440587,4.44993663695215e-06,TRUE
"JPAES","Joint parental absence and socioeconomic status","B-path (pathway variable to depressive symptoms)","DNKA","Alcohol use",100,0.237390944263845,0.148255600412498,-0.0531847057558937,0.527966594283584,1.26793671347888,0.948204857411791,1.69548119989163,0.109326551680433,FALSE
"JPAES","Joint parental absence and socioeconomic status","B-path (pathway variable to depressive symptoms)","ESXC","Ever had sexual intercourse",100,0.472528655433939,0.181031212521914,0.117713983251399,0.82734332761648,1.60404514680269,1.12492231872646,2.28723422955476,0.00904879119127977,TRUE
"JPAES","Joint parental absence and socioeconomic status","B-path (pathway variable to depressive symptoms)","FDSC","Food insecurity",100,0.72510432160828,0.13876155930949,0.4531366046457,0.997072038570861,2.06494650727112,1.57323908360349,2.7103344446062,1.73652075829978e-07,TRUE
"JPAES","Joint parental absence and socioeconomic status","B-path (pathway variable to depressive symptoms)","GOVG","No government grant receipt",100,0.177961691114568,0.153534799261072,-0.122961023887182,0.478884406116318,1.19477954968519,0.884298128392761,1.61427252474284,0.246416768067439,FALSE
"JPAES","Joint parental absence and socioeconomic status","B-path (pathway variable to depressive symptoms)","SCHL","School disengagement",100,0.119118946308576,0.177037993838032,-0.227869156689676,0.466107049306829,1.12650390380061,0.79622843418415,1.59377760300446,0.501046566313827,FALSE
"JPAES","Joint parental absence and socioeconomic status","B-path (pathway variable to depressive symptoms)","SCSP","Low social support",100,-0.130626101464126,0.220108296007,-0.562030462738653,0.300778259810402,0.877545826157747,0.570050421816495,1.35090975733859,0.552871430753362,FALSE
"JPAES","Joint parental absence and socioeconomic status","B-path (pathway variable to depressive symptoms)","VLNC","Violence exposure",100,0.645159994814106,0.141847956770149,0.367143081891693,0.923176907736519,1.90629200170871,1.44360445799555,2.51727485022066,5.4094303547636e-06,TRUE
"UHSES","Univariate socioeconomic status","B-path (pathway variable to depressive symptoms)","DNKA","Alcohol use",100,0.158392142537705,0.204430653850179,-0.242284690078084,0.559068975153495,1.1716255488516,0.784832711658112,1.74904333921264,0.438459997042957,FALSE
"UHSES","Univariate socioeconomic status","B-path (pathway variable to depressive symptoms)","ESXC","Ever had sexual intercourse",100,0.877988999762465,0.23955756044817,0.40846469211481,1.34751330741012,2.40605625825492,1.50450613089038,3.84784521579957,0.000247298692311215,TRUE
"UHSES","Univariate socioeconomic status","B-path (pathway variable to depressive symptoms)","FDSC","Food insecurity",100,0.748580130595692,0.193577530831274,0.369174768728428,1.12798549246295,2.11399628601739,1.44654039160925,3.08942655401669,0.000110151186681673,TRUE
"UHSES","Univariate socioeconomic status","B-path (pathway variable to depressive symptoms)","GOVG","No government grant receipt",100,0.338002416192467,0.211137498976017,-0.075819533621839,0.751824366006772,1.40214389125073,0.926983480816637,2.12086572464029,0.109407085194916,FALSE
"UHSES","Univariate socioeconomic status","B-path (pathway variable to depressive symptoms)","SCHL","School disengagement",100,0.270628507048724,0.279300613557044,-0.276790759837093,0.818047773934541,1.31078803141013,0.758213129152495,2.26607163240309,0.332569863211128,FALSE
"UHSES","Univariate socioeconomic status","B-path (pathway variable to depressive symptoms)","SCSP","Low social support",100,-0.362058231181336,0.280395433017374,-0.911623329081862,0.18750686671919,0.696241823677427,0.401871324833114,1.20623853229382,0.19662000070857,FALSE
"UHSES","Univariate socioeconomic status","B-path (pathway variable to depressive symptoms)","VLNC","Violence exposure",100,0.446164386165679,0.199214535627328,0.0557109948392844,0.836617777492073,1.56230826729159,1.05729207671118,2.30854574228914,0.0251157924965084,TRUE
"ULWOF","Univariate lived without father","B-path (pathway variable to depressive symptoms)","DNKA","Alcohol use",100,0.219132958137212,0.198580987812347,-0.170078644073452,0.608344560347876,1.24499679813869,0.843598469967497,1.8373871961092,0.269812641284626,FALSE
"ULWOF","Univariate lived without father","B-path (pathway variable to depressive symptoms)","ESXC","Ever had sexual intercourse",100,0.30370190895893,0.239729963884918,-0.166160193624887,0.773564011542747,1.35486512273326,0.846910553650567,2.16747741882126,0.20520892739236,FALSE
"ULWOF","Univariate lived without father","B-path (pathway variable to depressive symptoms)","FDSC","Food insecurity",100,0.711038453779768,0.185544189400683,0.347378514618079,1.07469839294146,2.03610456165114,1.41535235554841,2.92910932724609,0.000127013708882462,TRUE
"ULWOF","Univariate lived without father","B-path (pathway variable to depressive symptoms)","GOVG","No government grant receipt",100,-0.0743063952071719,0.203671895993962,-0.473496011405316,0.324883220990972,0.928387196871738,0.622821068196195,1.38386902969033,0.715235465873586,FALSE
"ULWOF","Univariate lived without father","B-path (pathway variable to depressive symptoms)","SCHL","School disengagement",100,0.225520774609451,0.235781951375959,-0.236603369634862,0.687644918853765,1.25297506391362,0.78930428798881,1.98902569602104,0.338829673610292,FALSE
