"model","pv_draw_id","n_used"
"ULWOM",1,3743
"ULWOM",2,3743
"ULWOM",3,3743
"ULWOM",4,3743
"ULWOM",5,3743
"ULWOM",6,3743
"ULWOM",7,3743
"ULWOM",8,3743
"ULWOM",9,3743
"ULWOM",10,3743
"ULWOM",11,3743
"ULWOM",12,3743
"ULWOM",13,3743
"ULWOM",14,3743
"ULWOM",15,3743
"ULWOM",16,3743
"ULWOM",17,3743
"ULWOM",18,3743
"ULWOM",19,3743
"ULWOM",20,3743
"ULWOM",21,3743
"ULWOM",22,3743
"ULWOM",23,3743
"ULWOM",24,3743
"ULWOM",25,3743
"ULWOM",26,3743
"ULWOM",27,3743
"ULWOM",28,3743
"ULWOM",29,3743
"ULWOM",30,3743
"ULWOM",31,3743
"ULWOM",32,3743
"ULWOM",33,3743
"ULWOM",34,3743
"ULWOM",35,3743
"ULWOM",36,3743
"ULWOM",37,3743
"ULWOM",38,3743
"ULWOM",39,3743
"ULWOM",40,3743
"ULWOM",41,3743
"ULWOM",42,3743
"ULWOM",43,3743
"ULWOM",44,3743
"ULWOM",45,3743
"ULWOM",46,3743
"ULWOM",47,3743
"ULWOM",48,3743
"ULWOM",49,3743
"ULWOM",50,3743
"ULWOM",51,3743
"ULWOM",52,3743
"ULWOM",53,3743
"ULWOM",54,3743
"ULWOM",55,3743
"ULWOM",56,3743
"ULWOM",57,3743
"ULWOM",58,3743
"ULWOM",59,3743
"ULWOM",60,3743
"ULWOM",61,3743
"ULWOM",62,3743
"ULWOM",63,3743
"ULWOM",64,3743
"ULWOM",65,3743
"ULWOM",66,3743
"ULWOM",67,3743
"ULWOM",68,3743
"ULWOM",69,3743
"ULWOM",70,3743
"ULWOM",71,3743
"ULWOM",72,3743
"ULWOM",73,3743
"ULWOM",74,3743
"ULWOM",75,3743
"ULWOM",76,3743
"ULWOM",77,3743
"ULWOM",78,3743
"ULWOM",79,3743
"ULWOM",80,3743
"ULWOM",81,3743
"ULWOM",82,3743
"ULWOM",83,3743
"ULWOM",84,3743
"ULWOM",85,3743
"ULWOM",86,3743
"ULWOM",87,3743
"ULWOM",88,3743
"ULWOM",89,3743
"ULWOM",90,3743
"ULWOM",91,3743
"ULWOM",92,3743
"ULWOM",93,3743
"ULWOM",94,3743
"ULWOM",95,3743
"ULWOM",96,3743
"ULWOM",97,3743
"ULWOM",98,3743
"ULWOM",99,3743
"ULWOM",100,3743
"ULWOF",1,2238
"ULWOF",2,2238
"ULWOF",3,2238
"ULWOF",4,2238
"ULWOF",5,2238
"ULWOF",6,2238
"ULWOF",7,2238
"ULWOF",8,2238
"ULWOF",9,2238
"ULWOF",10,2238
"ULWOF",11,2238
"ULWOF",12,2238
"ULWOF",13,2238
"ULWOF",14,2238
"ULWOF",15,2238
"ULWOF",16,2238
"ULWOF",17,2238
"ULWOF",18,2238
"ULWOF",19,2238
"ULWOF",20,2238
"ULWOF",21,2238
"ULWOF",22,2238
"ULWOF",23,2238
"ULWOF",24,2238
"ULWOF",25,2238
"ULWOF",26,2238
"ULWOF",27,2238
"ULWOF",28,2238
"ULWOF",29,2238
"ULWOF",30,2238
"ULWOF",31,2238
"ULWOF",32,2238
"ULWOF",33,2238
"ULWOF",34,2238
"ULWOF",35,2238
"ULWOF",36,2238
"ULWOF",37,2238
"ULWOF",38,2238
"ULWOF",39,2238
"ULWOF",40,2238
"ULWOF",41,2238
"ULWOF",42,2238
"ULWOF",43,2238
"ULWOF",44,2238
"ULWOF",45,2238
"ULWOF",46,2238
"ULWOF",47,2238
"ULWOF",48,2238
"ULWOF",49,2238
"ULWOF",50,2238
"ULWOF",51,2238
"ULWOF",52,2238
"ULWOF",53,2238
"ULWOF",54,2238
"ULWOF",55,2238
"ULWOF",56,2238
"ULWOF",57,2238
"ULWOF",58,2238
"ULWOF",59,2238
"ULWOF",60,2238
"ULWOF",61,2238
"ULWOF",62,2238
"ULWOF",63,2238
"ULWOF",64,2238
"ULWOF",65,2238
"ULWOF",66,2238
"ULWOF",67,2238
"ULWOF",68,2238
"ULWOF",69,2238
"ULWOF",70,2238
"ULWOF",71,2238
"ULWOF",72,2238
"ULWOF",73,2238
"ULWOF",74,2238
"ULWOF",75,2238
"ULWOF",76,2238
"ULWOF",77,2238
"ULWOF",78,2238
"ULWOF",79,2238
"ULWOF",80,2238
"ULWOF",81,2238
"ULWOF",82,2238
"ULWOF",83,2238
"ULWOF",84,2238
"ULWOF",85,2238
"ULWOF",86,2238
"ULWOF",87,2238
"ULWOF",88,2238
"ULWOF",89,2238
"ULWOF",90,2238
"ULWOF",91,2238
"ULWOF",92,2238
"ULWOF",93,2238
"ULWOF",94,2238
"ULWOF",95,2238
"ULWOF",96,2238
"ULWOF",97,2238
"ULWOF",98,2238
"ULWOF",99,2238
"ULWOF",100,2238
"UHSES",1,2765
"UHSES",2,2765
"UHSES",3,2765
"UHSES",4,2765
"UHSES",5,2765
"UHSES",6,2765
"UHSES",7,2765
"UHSES",8,2765
"UHSES",9,2765
"UHSES",10,2765
"UHSES",11,2765
"UHSES",12,2765
"UHSES",13,2765
"UHSES",14,2765
"UHSES",15,2765
"UHSES",16,2765
"UHSES",17,2765
"UHSES",18,2765
"UHSES",19,2765
"UHSES",20,2765
"UHSES",21,2765
"UHSES",22,2765
"UHSES",23,2765
"UHSES",24,2765
"UHSES",25,2765
"UHSES",26,2765
"UHSES",27,2765
"UHSES",28,2765
"UHSES",29,2765
"UHSES",30,2765
"UHSES",31,2765
"UHSES",32,2765
"UHSES",33,2765
"UHSES",34,2765
"UHSES",35,2765
"UHSES",36,2765
"UHSES",37,2765
"UHSES",38,2765
"UHSES",39,2765
"UHSES",40,2765
