"model_code","response","response_label","effect_group","effect_type","term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","or_conf.low","or_conf.high","class","window","class_label","benchmark_class","benchmark_label","term_label","n_subjects","n_pseudo_rows","total_weight"
"JMAES","DPBN","Adolescent depressive symptoms","Intercept","intercept","(Intercept)",-4.00985146951446,0.783252374391642,-5.11948843133599,3.06365561293485e-07,-5.54502612332208,-2.47467681570684,0.0181360887988331,0.0039068411429965,0.0841901948096319,,,,,,"Intercept",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Two-window class history","early_class","early_class1",-0.129361842300991,0.27698452134323,-0.467036358832089,0.640473865165463,-0.672251504133722,0.41352781953174,0.878655973118404,0.510557759830238,1.51214295392034,1,"Early Childhood (0–5 Years)","Rising Maternal Absence, Low SES",2,"Low Maternal Absence, Improving SES","Early: Rising Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Two-window class history","early_class","early_class3",-0.57223863323575,0.32635613293636,-1.75341774057403,0.0795303280253033,-1.21189665379102,0.0674193873195159,0.564260850659332,0.297632238442337,1.06974402118901,3,"Early Childhood (0–5 Years)","Low Maternal Absence, Low SES",2,"Low Maternal Absence, Improving SES","Early: Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Two-window class history","early_class","early_class4",-0.49934760431786,0.268637958887136,-1.85881253113471,0.0630537156227111,-1.02587800373665,0.0271827951009274,0.606926486800018,0.358481579024568,1.02755561772999,4,"Early Childhood (0–5 Years)","High Maternal Absence, Low SES",2,"Low Maternal Absence, Improving SES","Early: High Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Two-window class history","early_class","early_class5",-0.420228086691216,0.272219222967549,-1.54371202044505,0.122658112971023,-0.953777763707613,0.11332159032518,0.656896973269602,0.385282763466974,1.11999205364855,5,"Early Childhood (0–5 Years)","Rising Maternal Absence, Improving SES",2,"Low Maternal Absence, Improving SES","Early: Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class1",-0.353010902422133,0.337244781077457,-1.04674978599907,0.295214995194019,-1.01401067333395,0.307988868489683,0.702569533625854,0.362761141632482,1.36068584236436,1,"Middle–Late Childhood (6–12 Years)","Rising Maternal Absence, Improving SES",6,"Low Maternal Absence, Higher SES","Middle-late: Rising Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class2",-0.281107405289629,0.215173224278781,-1.30642372549766,0.191408501908978,-0.702846924876039,0.140632114296782,0.754947245797966,0.495173573235893,1.15100113322571,2,"Middle–Late Childhood (6–12 Years)","Low Maternal Absence, Low SES",6,"Low Maternal Absence, Higher SES","Middle-late: Low Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class3",0.0302830728242884,0.247130872351268,0.122538606917733,0.902472472461798,-0.454093436984196,0.514659582632773,1.03074626891792,0.635023395802818,1.673068863148,3,"Middle–Late Childhood (6–12 Years)","High Maternal Absence, Improving SES",6,"Low Maternal Absence, Higher SES","Middle-late: High Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class4",-0.0179215252991187,0.309050932724628,-0.0579889053921323,0.953757465870579,-0.623661353439389,0.587818302841152,0.982238110175822,0.535978434190822,1.80005694919113,4,"Middle–Late Childhood (6–12 Years)","Decreasing Maternal Absence, Low SES",6,"Low Maternal Absence, Higher SES","Middle-late: Decreasing Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class5",0.0773556494312773,0.2806929612653,0.275588134032915,0.782864424532797,-0.472802554648711,0.627513853511266,1.0804262610563,0.623253117460519,1.8729483621942,5,"Middle–Late Childhood (6–12 Years)","High Maternal Absence, Low SES",6,"Low Maternal Absence, Higher SES","Middle-late: High Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class7",-0.0172062498448027,0.264275306504566,-0.0651072931193647,0.948088573685889,-0.535185850593752,0.500773350904147,0.982940932312071,0.58556045327349,1.64999680393933,7,"Middle–Late Childhood (6–12 Years)","Low Maternal Absence, Improving SES",6,"Low Maternal Absence, Higher SES","Middle-late: Low Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Fixed covariate","fixed_covariate","SEXMale",-1.11088604918766,0.196367152895991,-5.657188754863,1.53872510365372e-08,-1.4957656688638,-0.72600642951152,0.329267084952838,0.224076970272107,0.48383737562001,,,,,,"Male vs Female",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Fixed covariate","fixed_covariate","AGE",0.0556287848442505,0.0514743624204341,1.08070857468585,0.279826767639868,-0.0452609654998004,0.156518535188301,1.05720516030755,0.955748032022758,1.1694324377686,,,,,,"Age (per year)",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Fixed covariate","fixed_covariate","RURALYes",-0.311279217954907,0.17645354663279,-1.76408592456742,0.0777175138649882,-0.657128169355176,0.0345697334453624,0.732509317558886,0.518337777377418,1.03517421212364,,,,,,"Rural vs non-rural",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Fixed covariate","fixed_covariate","CLYR",0.0126729766569163,0.0587902566936935,0.21556253314124,0.829328763365997,-0.102555926462723,0.127901879776555,1.01275361912556,0.902527673161181,1.13644148933343,,,,,,"Calendar year (per unit)",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","DNKA",0.298234142203876,0.187344338751691,1.59190367956173,0.111406348672567,-0.068960761749438,0.665429046157189,1.34747725223986,0.933363302902834,1.9453249765198,,"Adolescent pathway block",,,,"Alcohol use",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","ESXC",0.57892177153332,0.23509226437224,2.46253007549695,0.013796060173195,0.11814093336373,1.03970260970291,1.78411371110168,1.12540270698042,2.8283757577601,,"Adolescent pathway block",,,,"Ever had sexual intercourse",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","FDSC",0.752791078730452,0.16939759702852,4.44393009071853,8.83303166927284e-06,0.420771788554552,1.08481036890635,2.12291698385095,1.52313664152833,2.95887867013737,,"Adolescent pathway block",,,,"Food insecurity",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","GOVG",0.452082196015236,0.194307045449851,2.32663820793835,0.0199845291847906,0.0712403869335285,0.832924005096944,1.57158112097461,1.07383933178854,2.30003422922693,,"Adolescent pathway block",,,,"Lack of government grant receipt",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","VLNC",0.550219070991111,0.172683313726761,3.18628974112535,0.00144110194381035,0.211759776086658,0.888678365895563,1.73363276491813,1.23585096846074,2.43191342669821,,"Adolescent pathway block",,,,"Violence exposure",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","SCSP",-0.0304041046875553,0.289804654821722,-0.104912409727369,0.91644531177454,-0.59842122813813,0.53761301876302,0.97005345118588,0.549678768784792,1.71191567074342,,"Adolescent pathway block",,,,"Low social support",3391,30537,3390.40802600012
"JMAES","DPBN","Adolescent depressive symptoms","Adolescent pathway","mediator","SCHL",-0.394287965136073,0.243281378800953,-1.62070754070607,0.105080375653189,-0.871119467585941,0.082543537313794,0.674159893740234,0.418482808986893,1.08604595593335,,"Adolescent pathway block",,,,"School disengagement",3391,30537,3390.40802600012
