"adjustment_code","adjustment_label","term","pathway_label","estimate","odds_ratio","or_conf.low","or_conf.high","p.value","n_subjects","n_pseudo_rows","total_weight","model_code","model_label"
"sex_only","Sex only","DNKA","Alcohol use",0.312956550623552,1.36746211436062,1.00756638139173,1.8559101104869,0.0446035768504799,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
"sex_only","Sex only","ESXC","Ever had sexual intercourse",0.730117485792813,2.0753244144861,1.45133224025517,2.96759853181849,6.29782416741654e-05,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
"sex_only","Sex only","FDSC","Food insecurity",0.738011181621183,2.09177122180586,1.57657576012129,2.77532292139171,3.1253607415317e-07,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
"sex_only","Sex only","GOVG","Lack of government grant receipt",0.218757289548795,1.24452917978921,0.907699856708776,1.706349150437,0.174281653910917,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
"sex_only","Sex only","VLNC","Violence exposure",0.628873014252381,1.8754957308278,1.40969754701473,2.49520490675616,1.57921130993253e-05,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
"sex_only","Sex only","SCSP","Low social support",-0.0493910117952149,0.951808888425718,0.59117566311144,1.53243818481653,0.838925923589311,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
"sex_only","Sex only","SCHL","School disengagement",0.0939652057361164,1.09852152300446,0.781404354900068,1.54433428600274,0.588725731828834,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
"sex_age","Sex + age","DNKA","Alcohol use",0.280042208903684,1.3231856613749,0.974435233118215,1.79675388877871,0.0727988818734066,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
"sex_age","Sex + age","ESXC","Ever had sexual intercourse",0.465166659464504,1.59227953522993,1.05594493640831,2.40102871929647,0.0264345255309629,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
"sex_age","Sex + age","FDSC","Food insecurity",0.723576975862687,2.06179502732076,1.5531990288201,2.73693110529041,5.5359332803728e-07,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
"sex_age","Sex + age","GOVG","Lack of government grant receipt",0.122204542921695,1.12998520861992,0.825344174402792,1.54707164756295,0.445810248783705,3752,14395,3751.20000000023,"ULWOM","Univariate lived without mother"
