"model_code","model_label","pathway_label","adjustment_code","adjustment_label","estimate","odds_ratio","p.value","abs_log_or","previous_abs_log_or","attenuation_step","attenuation_label","significant"
"JMAES","Joint maternal absence and socioeconomic status","Alcohol use","sex_only","Sex only",0.281777585567564,1.32548388045475,0.0610932403004011,0.281777585567564,,,"Starting model",FALSE
"JMAES","Joint maternal absence and socioeconomic status","Alcohol use","sex_age","Sex + age",0.246639016229546,1.27971707229486,0.102598066324466,0.246639016229546,0.281777585567564,0.0351385693380177,"12% reduction in |log(OR)|",FALSE
"JMAES","Joint maternal absence and socioeconomic status","Alcohol use","sex_age_rural","Sex + age + rural",0.244812298936079,1.27738152483008,0.105408893165984,0.244812298936079,0.246639016229546,0.00182671729346723,"1% reduction in |log(OR)|",FALSE
"JMAES","Joint maternal absence and socioeconomic status","Alcohol use","sex_age_rural_clyr","Sex + age + rural + calendar year",0.27638506773908,1.31835542244067,0.0747963121089895,0.27638506773908,0.244812298936079,-0.0315727688030009,"13% increase in |log(OR)|",FALSE
"JMAES","Joint maternal absence and socioeconomic status","Ever had sexual intercourse","sex_only","Sex only",0.779922256039107,2.18130267579608,6.2719891462015e-06,0.779922256039107,,,"Starting model",TRUE
"JMAES","Joint maternal absence and socioeconomic status","Ever had sexual intercourse","sex_age","Sex + age",0.531224105765375,1.7010132548418,0.00867842737852383,0.531224105765375,0.779922256039107,0.248698150273732,"32% reduction in |log(OR)|",TRUE
"JMAES","Joint maternal absence and socioeconomic status","Ever had sexual intercourse","sex_age_rural","Sex + age + rural",0.522557144284346,1.68633434115837,0.00999207143374195,0.522557144284346,0.531224105765375,0.00866696148102952,"2% reduction in |log(OR)|",TRUE
"JMAES","Joint maternal absence and socioeconomic status","Ever had sexual intercourse","sex_age_rural_clyr","Sex + age + rural + calendar year",0.491474404007182,1.63472468862269,0.0159798314726016,0.491474404007182,0.522557144284346,0.0310827402771636,"6% reduction in |log(OR)|",TRUE
"JMAES","Joint maternal absence and socioeconomic status","Food insecurity","sex_only","Sex only",0.693657734466426,2.00102136852262,9.31412239157801e-07,0.693657734466426,,,"Starting model",TRUE
"JMAES","Joint maternal absence and socioeconomic status","Food insecurity","sex_age","Sex + age",0.686056722737869,1.98586924033501,1.19589787032193e-06,0.686056722737869,0.693657734466426,0.0076010117285571,"1% reduction in |log(OR)|",TRUE
"JMAES","Joint maternal absence and socioeconomic status","Food insecurity","sex_age_rural","Sex + age + rural",0.678920241369067,1.97174757094964,1.57374104889952e-06,0.678920241369067,0.686056722737869,0.00713648136880152,"1% reduction in |log(OR)|",TRUE
"JMAES","Joint maternal absence and socioeconomic status","Food insecurity","sex_age_rural_clyr","Sex + age + rural + calendar year",0.68564606940446,1.98505390393352,1.25851579369711e-06,0.68564606940446,0.678920241369067,-0.00672582803539301,"1% increase in |log(OR)|",TRUE
"JMAES","Joint maternal absence and socioeconomic status","Lack of government grant receipt","sex_only","Sex only",0.243596995577307,1.27583006171264,0.115643751084932,0.243596995577307,,,"Starting model",FALSE
"JMAES","Joint maternal absence and socioeconomic status","Lack of government grant receipt","sex_age","Sex + age",0.158604974119977,1.1718749343086,0.305872805360976,0.158604974119977,0.243596995577307,0.0849920214573301,"35% reduction in |log(OR)|",FALSE
"JMAES","Joint maternal absence and socioeconomic status","Lack of government grant receipt","sex_age_rural","Sex + age + rural",0.147181564880508,1.15856429852293,0.3439792711553,0.147181564880508,0.158604974119977,0.0114234092394696,"7% reduction in |log(OR)|",FALSE
"JMAES","Joint maternal absence and socioeconomic status","Lack of government grant receipt","sex_age_rural_clyr","Sex + age + rural + calendar year",0.133034132672114,1.14228898704095,0.396759221709258,0.133034132672114,0.147181564880508,0.0141474322083931,"10% reduction in |log(OR)|",FALSE
"JMAES","Joint maternal absence and socioeconomic status","Low social support","sex_only","Sex only",0.0116924286819699,1.01176105232442,0.959321514982357,0.0116924286819699,,,"Starting model",FALSE
