"adjustment_code","adjustment_label","term","vif","model_code","model_label"
"sex_only","Sex only","SEXMale",1.11496358244508,"ULWOM","Univariate lived without mother"
"sex_only","Sex only","AGE",1.087437158848,"ULWOM","Univariate lived without mother"
"sex_only","Sex only","RURALYes",1.01502407495026,"ULWOM","Univariate lived without mother"
"sex_only","Sex only","CLYR",1.1922615594962,"ULWOM","Univariate lived without mother"
"sex_age","Sex + age","SEXMale",1.11496358244508,"ULWOM","Univariate lived without mother"
"sex_age","Sex + age","AGE",1.087437158848,"ULWOM","Univariate lived without mother"
"sex_age","Sex + age","RURALYes",1.01502407495026,"ULWOM","Univariate lived without mother"
"sex_age","Sex + age","CLYR",1.1922615594962,"ULWOM","Univariate lived without mother"
"sex_age_rural","Sex + age + rural","SEXMale",1.11496358244508,"ULWOM","Univariate lived without mother"
"sex_age_rural","Sex + age + rural","AGE",1.087437158848,"ULWOM","Univariate lived without mother"
"sex_age_rural","Sex + age + rural","RURALYes",1.01502407495026,"ULWOM","Univariate lived without mother"
"sex_age_rural","Sex + age + rural","CLYR",1.1922615594962,"ULWOM","Univariate lived without mother"
"sex_age_rural_clyr","Sex + age + rural + calendar year","SEXMale",1.11496358244508,"ULWOM","Univariate lived without mother"
"sex_age_rural_clyr","Sex + age + rural + calendar year","AGE",1.087437158848,"ULWOM","Univariate lived without mother"
"sex_age_rural_clyr","Sex + age + rural + calendar year","RURALYes",1.01502407495026,"ULWOM","Univariate lived without mother"
"sex_age_rural_clyr","Sex + age + rural + calendar year","CLYR",1.1922615594962,"ULWOM","Univariate lived without mother"
"sex_only","Sex only","SEXMale",1.08703023289989,"UHSES","Univariate household socioeconomic status"
"sex_only","Sex only","AGE",1.42320694853749,"UHSES","Univariate household socioeconomic status"
"sex_only","Sex only","RURALYes",1.01193055639555,"UHSES","Univariate household socioeconomic status"
"sex_only","Sex only","CLYR",1.51680546595473,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","SEXMale",1.08703023289989,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","AGE",1.42320694853749,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","RURALYes",1.01193055639555,"UHSES","Univariate household socioeconomic status"
"sex_age","Sex + age","CLYR",1.51680546595473,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","SEXMale",1.08703023289989,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","AGE",1.42320694853749,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","RURALYes",1.01193055639555,"UHSES","Univariate household socioeconomic status"
"sex_age_rural","Sex + age + rural","CLYR",1.51680546595473,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","SEXMale",1.08703023289989,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","AGE",1.42320694853749,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","RURALYes",1.01193055639555,"UHSES","Univariate household socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","CLYR",1.51680546595473,"UHSES","Univariate household socioeconomic status"
"sex_only","Sex only","SEXMale",1.10757982141249,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","AGE",1.10237682942041,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","RURALYes",1.01567909701025,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","CLYR",1.20409197863782,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","SEXMale",1.10757982141249,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","AGE",1.10237682942041,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","RURALYes",1.01567909701025,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age","Sex + age","CLYR",1.20409197863782,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","SEXMale",1.10757982141249,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","AGE",1.10237682942041,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","RURALYes",1.01567909701025,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural","Sex + age + rural","CLYR",1.20409197863782,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","SEXMale",1.10757982141249,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","AGE",1.10237682942041,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","RURALYes",1.01567909701025,"JMAES","Joint maternal absence and socioeconomic status"
"sex_age_rural_clyr","Sex + age + rural + calendar year","CLYR",1.20409197863782,"JMAES","Joint maternal absence and socioeconomic status"
"sex_only","Sex only","SEXMale",1.11753648691826,"JPAES","Joint parental absence and socioeconomic status"
"sex_only","Sex only","AGE",1.09529466743928,"JPAES","Joint parental absence and socioeconomic status"
"sex_only","Sex only","RURALYes",1.01483120085344,"JPAES","Joint parental absence and socioeconomic status"
"sex_only","Sex only","CLYR",1.20854464232376,"JPAES","Joint parental absence and socioeconomic status"
"sex_age","Sex + age","SEXMale",1.11753648691826,"JPAES","Joint parental absence and socioeconomic status"
"sex_age","Sex + age","AGE",1.09529466743928,"JPAES","Joint parental absence and socioeconomic status"
"sex_age","Sex + age","RURALYes",1.01483120085344,"JPAES","Joint parental absence and socioeconomic status"
