"model_code","response","response_label","effect_group","effect_type","term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","or_conf.low","or_conf.high","class","window","class_label","benchmark_class","benchmark_label","term_label","n_subjects","n_pseudo_rows","total_weight"
"UHSES","DPBN","Adolescent depressive symptoms","Intercept","intercept","(Intercept)",-5.1891196038983,1.53127490300428,-3.38875769054761,0.000702100235435724,-8.19041841378669,-2.18782079400991,0.00557691454805605,0.000277297834726892,0.11216090420234,,,,,,"Intercept",1523,12386,1522.76801400001
"UHSES","DPBN","Adolescent depressive symptoms","Two-window class history","early_class","early_class1",-0.789473236062061,0.707547463602505,-1.11578837699796,0.264512730159182,-2.17626626472297,0.597319792598848,0.454083927331472,0.11346438671625,1.81724168285875,1,"Early Childhood (0–5 Years)","Chronic Low SES",3,"Stable Higher SES","Early: Chronic Low SES vs Stable Higher SES",1523,12386,1522.76801400001
"UHSES","DPBN","Adolescent depressive symptoms","Two-window class history","early_class","early_class2",-0.0939630237398269,0.628555242525544,-0.149490478135672,0.881166622292524,-1.32593129908989,1.13800525161024,0.910316421715312,0.265555532267106,3.12053746562905,2,"Early Childhood (0–5 Years)","Improving from Low SES",3,"Stable Higher SES","Early: Improving from Low SES vs Stable Higher SES",1523,12386,1522.76801400001
"UHSES","DPBN","Adolescent depressive symptoms","Two-window class history","early_class","early_class4",-0.44182086886753,0.696135082944074,-0.634676917874896,0.525639150807111,-1.80624563143791,0.922603893702855,0.642864782238504,0.164269709569437,2.51583282959338,4,"Early Childhood (0–5 Years)","Late Improvement from Chronic Low SES",3,"Stable Higher SES","Early: Late Improvement from Chronic Low SES vs Stable Higher SES",1523,12386,1522.76801400001
"UHSES","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class1",0.592699354021753,0.464884308120307,1.27493947132405,0.202330666852015,-0.31847388989405,1.50387259793755,1.80886459709163,0.727258066492852,4.49907849959009,1,"Middle–Late Childhood (6–12 Years)","Late Improvement from Chronic Low SES",2,"Stable Higher SES","Middle-late: Late Improvement from Chronic Low SES vs Stable Higher SES",1523,12386,1522.76801400001
"UHSES","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class3",0.34830025093684,0.526829911372435,0.661124669306437,0.508532365949177,-0.684286375353132,1.38088687722681,1.41665753864329,0.504450089173963,3.97842844092108,3,"Middle–Late Childhood (6–12 Years)","Persistent Moderate Low SES",2,"Stable Higher SES","Middle-late: Persistent Moderate Low SES vs Stable Higher SES",1523,12386,1522.76801400001
"UHSES","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class4",0.336533929977507,0.363060100420845,0.926937246994121,0.353959116925473,-0.37506386684735,1.04813172680236,1.40008637336312,0.687245385193206,2.85231722920336,4,"Middle–Late Childhood (6–12 Years)","Early Improvement from Mild Low SES",2,"Stable Higher SES","Middle-late: Early Improvement from Mild Low SES vs Stable Higher SES",1523,12386,1522.76801400001
"UHSES","DPBN","Adolescent depressive symptoms","Two-window class history","mid_class","mid_class5",0.954655779527715,0.492283397311225,1.93924025214317,0.0524720903640954,-0.0102196792022862,1.91953123825772,2.59777622124179,0.989832364279101,6.81776181420798,5,"Middle–Late Childhood (6–12 Years)","Chronic Low SES",2,"Stable Higher SES","Middle-late: Chronic Low SES vs Stable Higher SES",1523,12386,1522.76801400001
"UHSES","DPBN","Adolescent depressive symptoms","Fixed covariate","fixed_covariate","SEXMale",-0.753122117986934,0.315532520692339,-2.38682883252236,0.0169944016180727,-1.37156585854392,-0.134678377429949,0.470894068461205,0.253709375360654,0.873996963638949,,,,,,"Male vs Female",1523,12386,1522.76801400001
"UHSES","DPBN","Adolescent depressive symptoms","Fixed covariate","fixed_covariate","AGE",0.00902012321335569,0.137949964504748,0.0653869194221156,0.947865938580982,-0.261361807215951,0.279402053642663,1.00906092711789,0.770002276830578,1.32233888817454,,,,,,"Age (per year)",1523,12386,1522.76801400001
