Analysis,Spec,Window,WindowLabel,Condition,ClassLabel,NClass
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Restricted (at least 3 waves),Declining Return to Two-Parent,395
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Restricted (at least 3 waves),"Dual Absence, Stable High",1787
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Restricted (at least 3 waves),Late Dual Absence,209
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Restricted (at least 3 waves),Maternal Absence Transition,246
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Restricted (at least 3 waves),"Paternal Absence, Stable High",677
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Restricted (at least 3 waves),"Two-Parent, Stable Presence",222
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Stricter restricted (at least 3 complete waves),Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y),221
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Stricter restricted (at least 3 complete waves),Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y),651
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Stricter restricted (at least 3 complete waves),Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y),719
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Stricter restricted (at least 3 complete waves),Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y),146
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted,Declining Return to Two-Parent,223
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted,"Dual Absence, Stable High",504
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted,Late Dual Absence,266
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted,Maternal Absence Transition,227
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted,"Paternal Absence, Stable High",2090
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted,"Two-Parent, Stable Presence",837
Joint Parental Residence Patterns,JPA,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),Declining Return to Two-Parent,264
Joint Parental Residence Patterns,JPA,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),"Dual Absence, Stable High",687
Joint Parental Residence Patterns,JPA,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),From Dual to Paternal Absence,824
Joint Parental Residence Patterns,JPA,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),Late Dual Absence,1696
Joint Parental Residence Patterns,JPA,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),Maternal Absence Transition,333
Joint Parental Residence Patterns,JPA,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),"Paternal Absence, Stable High",313
Joint Parental Residence Patterns,JPA,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),Rising Paternal Absence,326
Joint Parental Residence Patterns,JPA,time_6_12,Middle-late childhood (6-12 years),Restricted (at least 3 waves),"Two-Parent, Stable Presence",260
Joint Parental Residence Patterns,JPA,time_6_12,Middle-late childhood (6-12 years),Stricter restricted (at least 3 complete waves),Class 1,262
Joint Parental Residence Patterns,JPA,time_6_12,Middle-late childhood (6-12 years),Stricter restricted (at least 3 complete waves),Class 2,145
