"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence"
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","DNKA","Alcohol use","Mediator",2,259,102,0.393822393822394
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","DPBN","Depression","Outcome",1,254,11,0.0433070866141732
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","ESXC","Ever had sexual intercourse","Mediator",3,252,115,0.456349206349207
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","FDSC","Food insecurity","Mediator",4,259,64,0.247104247104247
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","GOVG","No government grant receipt","Mediator",5,259,156,0.602316602316603
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","SCHL","School disengagement","Mediator",8,259,67,0.258687258687259
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","SCSP","Low social support","Mediator",7,259,22,0.0849420849420849
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","VLNC","Violence exposure","Mediator",6,259,79,0.305019305019305
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","DNKA","Alcohol use","Mediator",2,166,59,0.355421686746988
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","DPBN","Depression","Outcome",1,165,15,0.090909090909091
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","ESXC","Ever had sexual intercourse","Mediator",3,165,69,0.418181818181818
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","FDSC","Food insecurity","Mediator",4,166,51,0.307228915662651
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","GOVG","No government grant receipt","Mediator",5,166,110,0.662650602409639
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","SCHL","School disengagement","Mediator",8,166,41,0.246987951807229
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","SCSP","Low social support","Mediator",7,166,15,0.0903614457831325
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","VLNC","Violence exposure","Mediator",6,166,60,0.36144578313253
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","DNKA","Alcohol use","Mediator",2,724,248,0.342541436464088
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","DPBN","Depression","Outcome",1,720,36,0.05
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","ESXC","Ever had sexual intercourse","Mediator",3,706,320,0.453257790368273
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","FDSC","Food insecurity","Mediator",4,724,189,0.261049723756906
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","GOVG","No government grant receipt","Mediator",5,724,459,0.633977900552485
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","SCHL","School disengagement","Mediator",8,724,203,0.280386740331491
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","SCSP","Low social support","Mediator",7,724,67,0.0925414364640884
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","VLNC","Violence exposure","Mediator",6,724,242,0.334254143646409
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","DNKA","Alcohol use","Mediator",2,808,284,0.351485148514852
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","DPBN","Depression","Outcome",1,803,40,0.0498132004981319
