Analysis,Spec,Window,WindowLabel,Comparison,ComparatorCondition,UnrestrictedClass,UnrestrictedN,OverlapN,DroppedN,OverlapPct
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),Declining Return to Two-Parent,223,222,1,0.9955156950672646
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"Dual Absence, Stable High",504,397,107,0.7876984126984127
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),Late Dual Absence,266,246,20,0.924812030075188
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),Maternal Absence Transition,227,204,23,0.8986784140969163
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"Paternal Absence, Stable High",2090,1791,299,0.8569377990430622
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Restricted (at least 3 waves),Restricted (at least 3 waves),"Two-Parent, Stable Presence",837,676,161,0.8076463560334528
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),Declining Return to Two-Parent,223,87,136,0.3901345291479821
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"Dual Absence, Stable High",504,141,363,0.27976190476190477
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),Late Dual Absence,266,84,182,0.3157894736842105
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),Maternal Absence Transition,227,111,116,0.4889867841409692
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"Paternal Absence, Stable High",2090,699,1391,0.3344497607655502
Joint Parental Residence Patterns,JPA,time_0_5,Early childhood (0-5 years),Unrestricted vs Stricter restricted (at least 3 complete waves),Stricter restricted (at least 3 complete waves),"Two-Parent, Stable Presence",837,615,222,0.7347670250896058
