"Analysis","Spec","Window","WindowLabel","Comparison","ComparatorCondition","UnrestrictedClass","ComparatorClass","n","RowTotal","RowPct","StayedSameLabel"
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)",166,166,1,FALSE
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)",258,258,1,FALSE
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)",724,724,1,TRUE
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)",1,809,0.00123609394313968,FALSE
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)",808,809,0.99876390605686,TRUE
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)",145,145,1,FALSE
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)",220,228,0.964912280701754,FALSE
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)",7,228,0.0307017543859649,FALSE
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)",1,228,0.0043859649122807,FALSE
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)",651,651,1,FALSE
