"Window","Scenario","LatentClass","Class","Harmonized_Family_ID","Display_Label","Adversity_Order","Retained_Reference_Class","Mapping_Status","Mapping_Basis","Color_Name","Color_Hex"
"time_0_5","Stricter restricted (>=3 complete occasions)",2,"Class 2","EC1","Low Maternal Absence, Improving SES",1,"Class 2","Primary retained class","Reference class retained in the stricter branch (Class 2).","improvement-teal-alt","#009E73"
"time_0_5","Stricter restricted (>=3 complete occasions)",3,"Class 3","EC2","Low Maternal Absence, Low SES",2,"Class 3","Primary retained class","Reference class retained in the stricter branch (Class 3).","persistent-moderate-rose-alt","#CC79A7"
"time_0_5","Stricter restricted (>=3 complete occasions)",5,"Class 5","EC3","Rising Maternal Absence, Improving SES",3,"Class 5","Primary retained class","Reference class retained in the stricter branch (Class 5).","rising-adversity-coral-alt","#F46D43"
"time_0_5","Stricter restricted (>=3 complete occasions)",1,"Class 1","EC4","Rising Maternal Absence, Low SES",4,"Class 1","Primary retained class","Reference class retained in the stricter branch (Class 1).","onset-orange-red-alt","#D55E00"
"time_0_5","Stricter restricted (>=3 complete occasions)",4,"Class 4","EC5","High Maternal Absence, Low SES",5,"Class 4","Primary retained class","Reference class retained in the stricter branch (Class 4).","chronic-dual-adversity-burgundy-alt","#7F0000"
"time_0_5","Restricted (>=3 occasions)",4,"Class 4","EC1","Low Maternal Absence, Improving SES",1,"Class 2","Sensitivity mapping","Mapped to stricter branch Class 2.","improvement-teal-alt","#009E73"
"time_0_5","Restricted (>=3 occasions)",1,"Class 1","EC2","Low Maternal Absence, Low SES",2,"Class 3","Sensitivity mapping","Mapped to stricter branch Class 3.","persistent-moderate-rose-alt","#CC79A7"
"time_0_5","Restricted (>=3 occasions)",2,"Class 2","EC4","Rising Maternal Absence, Low SES",4,"Class 1","Sensitivity mapping","Mapped to stricter branch Class 1.","onset-orange-red-alt","#D55E00"
"time_0_5","Restricted (>=3 occasions)",3,"Class 3","EC5","High Maternal Absence, Low SES",5,"Class 4","Sensitivity mapping","Mapped to stricter branch Class 4.","chronic-dual-adversity-burgundy-alt","#7F0000"
"time_0_5","Unrestricted",3,"Class 3","EC1","Low Maternal Absence, Improving SES",1,"Class 2","Sensitivity mapping","Mapped to stricter branch Class 2.","improvement-teal-alt","#009E73"
