"Cohort","Label","Overall","Female","Male"
"All children","Mother's age (years)","3433 (63.6%)","1892 (62.8%)","1541 (64.6%)"
"All children","Mother's education","5398 (100.0%)","3012 (100.0%)","2386 (100.0%)"
"All children","Mother's HIV status","5398 (100.0%)","3012 (100.0%)","2386 (100.0%)"
"All children","Mother's partner status","5398 (100.0%)","3012 (100.0%)","2386 (100.0%)"
"All children","Mother migrated in previous year","5398 (100.0%)","3012 (100.0%)","2386 (100.0%)"
"All children","Father's age (years)","1672 (31.0%)","891 (29.6%)","781 (32.7%)"
"All children","Father's education","5398 (100.0%)","3012 (100.0%)","2386 (100.0%)"
"All children","Father's HIV status","5398 (100.0%)","3012 (100.0%)","2386 (100.0%)"
"All children","Father's partner status","5398 (100.0%)","3012 (100.0%)","2386 (100.0%)"
"All children","Father migrated in previous year","5398 (100.0%)","3012 (100.0%)","2386 (100.0%)"
"Early-childhood cohort","Mother's age (years)","2837 (65.7%)","1532 (64.9%)","1305 (66.6%)"
"Early-childhood cohort","Mother's education","4318 (100.0%)","2360 (100.0%)","1958 (100.0%)"
"Early-childhood cohort","Mother's HIV status","4318 (100.0%)","2360 (100.0%)","1958 (100.0%)"
"Early-childhood cohort","Mother's partner status","4318 (100.0%)","2360 (100.0%)","1958 (100.0%)"
"Early-childhood cohort","Mother migrated in previous year","4318 (100.0%)","2360 (100.0%)","1958 (100.0%)"
"Early-childhood cohort","Father's age (years)","1357 (31.4%)","712 (30.2%)","645 (32.9%)"
"Early-childhood cohort","Father's education","4318 (100.0%)","2360 (100.0%)","1958 (100.0%)"
"Early-childhood cohort","Father's HIV status","4318 (100.0%)","2360 (100.0%)","1958 (100.0%)"
"Early-childhood cohort","Father's partner status","4318 (100.0%)","2360 (100.0%)","1958 (100.0%)"
"Early-childhood cohort","Father migrated in previous year","4318 (100.0%)","2360 (100.0%)","1958 (100.0%)"
"Middle-late-childhood cohort","Mother's age (years)","3430 (63.7%)","1891 (63.0%)","1539 (64.6%)"
"Middle-late-childhood cohort","Mother's education","5386 (100.0%)","3003 (100.0%)","2383 (100.0%)"
"Middle-late-childhood cohort","Mother's HIV status","5386 (100.0%)","3003 (100.0%)","2383 (100.0%)"
"Middle-late-childhood cohort","Mother's partner status","5386 (100.0%)","3003 (100.0%)","2383 (100.0%)"
"Middle-late-childhood cohort","Mother migrated in previous year","5386 (100.0%)","3003 (100.0%)","2383 (100.0%)"
"Middle-late-childhood cohort","Father's age (years)","1670 (31.0%)","890 (29.6%)","780 (32.7%)"
"Middle-late-childhood cohort","Father's education","5386 (100.0%)","3003 (100.0%)","2383 (100.0%)"
"Middle-late-childhood cohort","Father's HIV status","5386 (100.0%)","3003 (100.0%)","2383 (100.0%)"
"Middle-late-childhood cohort","Father's partner status","5386 (100.0%)","3003 (100.0%)","2383 (100.0%)"
"Middle-late-childhood cohort","Father migrated in previous year","5386 (100.0%)","3003 (100.0%)","2383 (100.0%)"
