"ModelFamily","Analysis","ModelType","Scenario","Window","WindowLabel","ResultAvailable","SelectedClasses","SelectedModel","BIC","Entropy","BLRT_p","VLMR_p","MinimumClassShare","StructuralSensitivityComplete","ReportingChecklistReported","ReportingChecklistPartial","ReportingChecklistNotReported","SMARTReported","SMARTPartial","SMARTNotReported"
"Maternal co-residence","Univariate Lived Without Mother","Univariate","Univariate branch requiring at least 3 observed occasions","time_0_5","Early childhood (0-5 years)",TRUE,4,"lcga_model_class_4.out",11966.815,0.883,0,0,0.0773579291877417,TRUE,14,4,2,11,1,2
"Maternal co-residence","Univariate Lived Without Mother","Univariate","Univariate branch requiring at least 3 observed occasions","time_6_12","Middle-late childhood (6-12 years)",TRUE,5,"lcga_model_class_5.out",19227.825,0.919,0,0,0.0569924467841611,TRUE,14,4,2,11,1,2
"Paternal co-residence","Univariate Lived Without Father","Univariate","Univariate branch requiring at least 3 observed occasions","time_0_5","Early childhood (0-5 years)",TRUE,4,"lcga_model_class_4.out",6822.706,0.903,0,0,0.0596234309623431,TRUE,14,4,2,11,1,2
"Paternal co-residence","Univariate Lived Without Father","Univariate","Univariate branch requiring at least 3 observed occasions","time_6_12","Middle-late childhood (6-12 years)",TRUE,4,"lcga_model_class_4.out",11820.431,0.94,0,0,0.0754985754985755,TRUE,14,4,2,11,1,2
"Household socioeconomic status","Univariate Household Socioeconomic Status","Univariate","Univariate branch requiring at least 3 observed occasions","time_0_5","Early childhood (0-5 years)",TRUE,4,"lcga_model_class_4.out",7635.929,0.744,0,4e-04,0.0504358655043587,TRUE,14,4,2,11,1,2
"Household socioeconomic status","Univariate Household Socioeconomic Status","Univariate","Univariate branch requiring at least 3 observed occasions","time_6_12","Middle-late childhood (6-12 years)",TRUE,7,"lcga_model_class_7.out",33354.448,0.636,0,0.0113,0.0772316950852558,TRUE,17,1,2,12,0,2
"Joint parental residence","Joint Parental Residence Patterns","Joint","Joint branch requiring at least 2 complete occasions","time_0_5","Early childhood (0-5 years)",TRUE,4,"lcga_model_class_4.out",12794.154,0.936,0,0,0.0848237097598365,TRUE,17,1,2,12,0,2
"Joint parental residence","Joint Parental Residence Patterns","Joint","Joint branch requiring at least 2 complete occasions","time_6_12","Middle-late childhood (6-12 years)",TRUE,7,"lcga_model_class_7.out",20741.898,0.925,0,0,0.0584817970565453,TRUE,17,1,2,12,0,2
"Joint maternal absence and household socioeconomic status","Joint Maternal Absence + SES","Joint","Joint branch requiring at least 2 complete occasions","time_0_5","Early childhood (0-5 years)",TRUE,5,"lcga_model_class_5.out",16314.302,0.881,0,0,0.0629477993858751,TRUE,17,1,2,12,0,2
"Joint maternal absence and household socioeconomic status","Joint Maternal Absence + SES","Joint","Joint branch requiring at least 2 complete occasions","time_6_12","Middle-late childhood (6-12 years)",TRUE,6,"lcga_model_class_6.out",49090.777,0.877,0,0.7141,0.0726001613336918,TRUE,17,1,2,12,0,2
