"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence","MeanTopPosterior"
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Early Peak, Declining Maternal Absence",260,"DNKA","Alcohol use","Mediator",2,260,85,0.326923076923077,0.866673076923077
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Early Peak, Declining Maternal Absence",260,"DPBN","Depression","Outcome",1,260,17,0.0653846153846154,0.866673076923077
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Early Peak, Declining Maternal Absence",260,"ESXC","Ever had sexual intercourse","Mediator",3,259,106,0.409266409266409,0.866673076923077
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Early Peak, Declining Maternal Absence",260,"FDSC","Food insecurity","Mediator",4,260,71,0.273076923076923,0.866673076923077
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Early Peak, Declining Maternal Absence",260,"GOVG","No government grant receipt","Mediator",5,260,146,0.561538461538462,0.866673076923077
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Early Peak, Declining Maternal Absence",260,"SCHL","School disengagement","Mediator",8,260,55,0.211538461538462,0.866673076923077
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Early Peak, Declining Maternal Absence",260,"SCSP","Low social support","Mediator",7,260,23,0.0884615384615385,0.866673076923077
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Early Peak, Declining Maternal Absence",260,"VLNC","Violence exposure","Mediator",6,260,83,0.319230769230769,0.866673076923077
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",344,"DNKA","Alcohol use","Mediator",2,344,124,0.36046511627907,0.925279069767442
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",344,"DPBN","Depression","Outcome",1,344,13,0.0377906976744186,0.925279069767442
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",344,"ESXC","Ever had sexual intercourse","Mediator",3,337,109,0.323442136498516,0.925279069767442
"Univariate Lived Without Mother","ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Late-Onset Maternal Absence",344,"FDSC","Food insecurity","Mediator",4,344,77,0.223837209302326,0.925279069767442
