"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","VariableOrder","Depression","Alcohol use","Ever had sexual intercourse","Food insecurity","No government grant receipt","Violence exposure","Low social support","School disengagement"
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,1,0.0304506699147381,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,2,,0.283800243605359,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,3,,,0.222222222222222,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,4,,,,0.241169305724726,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,5,,,,,0.393422655298417,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,6,,,,,,0.330085261875761,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,7,,,,,,,0.107186358099878,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Chronic Low SES",821,8,,,,,,,,0.0767356881851401
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,1,0.0401146131805158,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,2,,0.292263610315186,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,3,,,0.155172413793103,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,4,,,,0.191977077363897,,,,
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)","Improving from Low SES",349,5,,,,,0.504297994269341,,,
