"Analysis","Spec","Window","BaselineClass","BaselineN","OverlapN","DroppedN","OverlapPct"
"Univariate Lived Without Mother","ULWOM","time_0_5","Early Peak, Declining Maternal Absence",274,260,14,0.948905109489051
"Univariate Lived Without Mother","ULWOM","time_0_5","Late-Onset Maternal Absence",475,344,131,0.72421052631579
"Univariate Lived Without Mother","ULWOM","time_0_5","Stable High Maternal Absence",409,387,22,0.946210268948655
"Univariate Lived Without Mother","ULWOM","time_0_5","Stable Low Maternal Absence",2793,2370,423,0.848549946294307
"Univariate Lived Without Mother","ULWOM","time_6_12","Declining Maternal Absence",361,356,5,0.986149584487535
"Univariate Lived Without Mother","ULWOM","time_6_12","Late-Onset Maternal Absence",264,264,0,1
"Univariate Lived Without Mother","ULWOM","time_6_12","Mid-Childhood Onset Maternal Absence",249,249,0,1
"Univariate Lived Without Mother","ULWOM","time_6_12","Stable High Maternal Absence",945,864,81,0.914285714285714
"Univariate Lived Without Mother","ULWOM","time_6_12","Stable Low Maternal Absence",2881,2636,245,0.914960083304408
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Chronic Low SES",2103,1100,1003,0.523062291963861
"Univariate Household Socioeconomic Status","UHSES","time_0_5","Improving from Low SES",791,506,285,0.639696586599241
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Chronic Low SES",1577,1247,330,0.790741915028535
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Early Improvement from Mild Low SES",409,403,6,0.985330073349633
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Improving from High Low SES",417,392,25,0.940047961630696
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Late Improvement from Chronic Low SES",448,434,14,0.96875
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Minimal Low SES",766,616,150,0.804177545691906
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Persistent Moderate Low SES",319,306,13,0.959247648902821
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Stable Higher SES",686,590,96,0.860058309037901
