"Variant","Scenario","ModelType","ModelFamily","Window","WindowLabel","Status","FiguresPresent","TablesPresent","ListingsPresent","FigureCount"
"main_unrestricted_final","Univariate unrestricted branch","Univariate","Household socioeconomic status","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_unrestricted_final","Univariate unrestricted branch","Univariate","Household socioeconomic status","time_6_12","Middle-late childhood (6-12 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_unrestricted_final","Univariate unrestricted branch","Univariate","Paternal co-residence","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_unrestricted_final","Univariate unrestricted branch","Univariate","Paternal co-residence","time_6_12","Middle-late childhood (6-12 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_unrestricted_final","Univariate unrestricted branch","Univariate","Maternal co-residence","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_unrestricted_final","Univariate unrestricted branch","Univariate","Maternal co-residence","time_6_12","Middle-late childhood (6-12 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge3occ_final","Univariate branch requiring at least 3 observed occasions","Univariate","Household socioeconomic status","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge3occ_final","Univariate branch requiring at least 3 observed occasions","Univariate","Household socioeconomic status","time_6_12","Middle-late childhood (6-12 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge3occ_final","Univariate branch requiring at least 3 observed occasions","Univariate","Paternal co-residence","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge3occ_final","Univariate branch requiring at least 3 observed occasions","Univariate","Paternal co-residence","time_6_12","Middle-late childhood (6-12 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge3occ_final","Univariate branch requiring at least 3 observed occasions","Univariate","Maternal co-residence","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge3occ_final","Univariate branch requiring at least 3 observed occasions","Univariate","Maternal co-residence","time_6_12","Middle-late childhood (6-12 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge2occ_final","Univariate branch requiring at least 2 observed occasions","Univariate","Household socioeconomic status","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge2occ_final","Univariate branch requiring at least 2 observed occasions","Univariate","Household socioeconomic status","time_6_12","Middle-late childhood (6-12 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge2occ_final","Univariate branch requiring at least 2 observed occasions","Univariate","Paternal co-residence","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge2occ_final","Univariate branch requiring at least 2 observed occasions","Univariate","Paternal co-residence","time_6_12","Middle-late childhood (6-12 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge2occ_final","Univariate branch requiring at least 2 observed occasions","Univariate","Maternal co-residence","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,6
"main_ge2occ_final","Univariate branch requiring at least 2 observed occasions","Univariate","Maternal co-residence","time_6_12","Middle-late childhood (6-12 years)","Results and reports present",TRUE,TRUE,FALSE,6
"joint_ge1complete_targeted_final","Joint branch requiring at least 1 complete occasion","Joint","Joint maternal absence and household socioeconomic status","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,10
"joint_ge1complete_targeted_final","Joint branch requiring at least 1 complete occasion","Joint","Joint maternal absence and household socioeconomic status","time_6_12","Middle-late childhood (6-12 years)","Results and reports present",TRUE,TRUE,FALSE,10
"joint_ge1complete_targeted_final","Joint branch requiring at least 1 complete occasion","Joint","Joint parental residence","time_0_5","Early childhood (0-5 years)","Results and reports present",TRUE,TRUE,FALSE,10
